|time|user|text
1|18.03.2020 17:54:55|Evgenii K|Я имел ввиду до 12 часов ночи, до закрытия нашей торговли.
2|18.03.2020 17:55:05|Alexey|Фухххх
4|18.03.2020 17:57:47|Pavel|Что сталось с Технолизингом кроме котировок 
6|18.03.2020 18:00:18|Vyacheslav U|Хохрин обрушил 
7|18.03.2020 18:00:31|Pavel|Да это я понял
9|18.03.2020 18:01:28|Владимир Тутынин|У ЛТ потенциал падения выше
13|18.03.2020 18:06:50|Владимир Тутынин|Раньше был Тёркин, потом Чонкин, теперь Хохрин. Сначала тёрли за социализм. Потом Чо У нас социализм Теперь  Хо У нас снова социализм
14|18.03.2020 18:07:17|"PRObonds | LIVE"|роделен эмитенты Важное дополнение к прямой речи Дениса Левицкого, гендиректора ЛК Роделен, опубликованной вчера  https//www.probonds.ru/posts/320denislevickiigendirektorzaolkrodelen.html . Соотношение будущих лизинговых платежей к сумме долга 2 к 1, по оценке Дениса. Это очень хорошее соотношение.
15|18.03.2020 18:08:30|Evgenii K|Причем ктото упорно держит на 80. Либо завтра цб крупно потратится, либо доллар 8185. Сорри за офтоп. Но валюта единственная кто спасает депо.
18|18.03.2020 18:16:06|Alex Zest|нефть валится вообще без откатов... 12 опять сегодня
19|18.03.2020 18:18:10|Aleksei Tuv|У нефти дна нет
20|18.03.2020 18:18:17|Andrey Belous|А у них оферта
21|18.03.2020 18:18:45|Ivan Z|Да, в феврале ещё объявляли
22|18.03.2020 18:19:21|Andrey Belous|Пропустил Дата
23|18.03.2020 18:23:06|Andrey Belous|Источники говорят, что глава ЦБ РФ Эльвира Набиуллина уже завтра может подать прошение об отставке. На смену ей рассматриваются два руководителя крупнейших госбанков. Оба, мягко говоря, не горят желанием идти на этот пост. Возможно, одному из них будет сделано предложение, от которого нельзя отказаться.
24|18.03.2020 18:25:06|Ivan Z|До 20 марта можно подать
25|18.03.2020 18:26:47|Aleksandr|Игоря Ивановича нужно брать на должность.
26|18.03.2020 18:27:45|Andrey Belous|Благодарствую.
28|18.03.2020 18:28:37|Aleksandr|AndreyHohrin выдели сотрудника на руководство ЦБ
29|18.03.2020 18:33:19|Dmitry Manzor|можно и самого Андрея номинировать. Ставку повысите Понизите Что делать ЦБ в данной ситуации для спасения рынка Звонить Шойгу или Лаврову для бесед с Сауди Дайте напутствие
30|18.03.2020 18:33:26|Александр (Саша-ААГ)|Странно что она уходит......тем более сейчас
34|18.03.2020 18:35:19|Alex Zest|Греф 
35|18.03.2020 18:35:36|Andrey Belous|Не исключено ахахах
