|time|user|text
1|28.02.2019 16:45:59|Карим|Рсхб не надёжный
2|28.02.2019 16:46:42|Aleksandr|надежный пока власть не сменится
3|28.02.2019 16:47:58|Завирюха Александр (МСХ Чувашия)|например Минсельхоз там зарплату получает 
4|28.02.2019 16:48:18|Aleksandr|А ФБ3 был по номиналу недавно
6|28.02.2019 16:49:14|Завирюха Александр (МСХ Чувашия)|а такое же можеш показать по Сбербанку
7|28.02.2019 16:49:30|Aleksandr|по какому выпуску 
8|28.02.2019 16:49:44|Завирюха Александр (МСХ Чувашия)|по акции
13|28.02.2019 16:50:51|Завирюха Александр (МСХ Чувашия)|спасибо большое
15|28.02.2019 16:52:18|Aleksandr|Блумберг  Долговой недуг, за который инвесторы часто ругают корпоративных заемщиков, стал одолевать суверена на фоне повышения стоимости заимствований и угрозы санкций ведомство увеличило выпуск коротких бумаг, приблизив пик выплат по облигациям федерального займа. Долг стал дороже, поэтому смещение в сторону короткого долга имеет смысл,  написал по электронной почте главный экономист Российского фонда прямых инвестиций Дмитрий Полевой.  По мере снижения инфляции и опасений за ставку Банка России ставки на рынке ОФЗ могут продолжить снижаться, что может увеличить предложение более длинных бумаг
17|28.02.2019 16:53:47|Harry Lime|Правильная культура распространяется по ВДО чатам , это замечательно.
18|28.02.2019 17:52:16|Andrey Hohrin| Второй звонок Сегодня у нас вебинар, в 1930 Уточним повестку  несколько слов о портфелях, это обязательно  почему МСБЛизинг и Роделен интересны для анализа ЛЕГЕНДЫ  чему учит нас опыт У.Баффета и Kraft Heinz Это минут на 1015. И живая 5минутка вопросов/ответов/замечаний . Ждем Вас https//youtu.be/OZZ2UikB5Eg
22|28.02.2019 20:00:26|Dmitry Manzor|Спасибо за эфир, единственная просьба писать в канал или сюда в чат о его начале, я пропустил первые 6 минут
23|28.02.2019 20:01:25|Andrey Hohrin|Упс, исправим, спасибо. Эфиры становятся более приуладными
25|28.02.2019 21:29:01|Zuev Aleksandr|Блин, и я забыл
27|01.03.2019 00:49:43|Vladimir|Вопрос организаторам почему не дали Андрею ответить на все вопросы поступившие в чат
28|01.03.2019 01:42:06|Kirill|А вот в ВТБ деньги вернулись в день погашения 27го, правда только вечером, около 17. А сама бумага осталась на балансе до утра, так что я на вечер побыл на N бумаг богаче, чем на самом деле. В целом идея использовать ультракороткие ОФЗ вместо кошелька мне разонравилась, лучше выбрать чтото в T0 в состоянии вялотекущего размещения.
30|01.03.2019 06:33:05|Alexey Z|Эх, как обычно на прямой эфир не успел. Когда ожидать запись
31|01.03.2019 06:50:06|Andrey Hohrin|Здравствуйте, сегодня выложим. Там про легенду цифры, хорошие
32|01.03.2019 06:50:34|Alexey Z|Спасибо за оперативность
33|01.03.2019 06:51:27|Aleksandr|https//www.kommersant.ru/doc/3897031 Граждане понесли деньги на рынок Объем средств на индивидуальных брокерских счетах резко вырос
34|01.03.2019 06:51:31|Andrey Hohrin|Да, организатор и я тоже. Но через 30 мин программа прерывает вещание
35|01.03.2019 06:59:45|Aleksandr|Долг не дождался санкций Нерезиденты увеличили вложения в российские еврооблигации https//www.kommersant.ru/doc/3897081
37|01.03.2019 07:15:15|🚲|Подскажите, пожалуйста, можно ли на TradingView смотреть график RUS28 По XS0088543193 ничего не находит, вроде как...
38|01.03.2019 07:17:24|Завирюха Александр (МСХ Чувашия)|если на ошибаюсь то на TradingView можно только акции смотреть, облигаций нет, биткоины, акции и фьючерсы Русский и иностранные
40|01.03.2019 07:23:56|🚲|Инструментарий удобный.
41|01.03.2019 07:26:04|Завирюха Александр (МСХ Чувашия)|Облигации по другому принципу покупают, их надо сначала не изучать а фирмы что их выпустили
42|01.03.2019 07:37:08|Alexey Z|Т.е. когда покупаешь акции по Вашему компании изучать не надо Ну удачи Вам с таким подходом...
43|01.03.2019 07:38:06|Завирюха Александр (МСХ Чувашия)|Например для чего сидеть изучать акции сбербанка Или голубые фишки
44|01.03.2019 07:39:09|Aleksandr|ну как же , чтоб точки входа понять
45|01.03.2019 07:39:11|Завирюха Александр (МСХ Чувашия)|До других пока не дошел. А вообще Я не спорю что не надо. Просто есть на Ютубе канал где уже есть про акции
46|01.03.2019 07:39:12|Alexey Z|Не Сбером единым жив фондовый рынок. В облигах Сбербанк тоже есть и голубые фишки облиги выпускают. Так что не складывается...
47|01.03.2019 07:40:39|Aleksandr|Блумберг  Россия разместила в феврале больше облигаций, чем в любом другом месяце прошедшего года Министерство финансов хочет заручиться финансированием перед возможным введением санкций США. Объем размещения за февраль составил 167,5 миллиарда рублей 2,5 миллиарда  это более чем втрое выше среднего показателя четырех предыдущих месяцев. Нарастить выпуск позволил высокий спрос на рисковые активы, а также решение Минфина отказаться от установления лимитов размещения.
48|01.03.2019 07:40:51|Завирюха Александр (МСХ Чувашия)|https//www.youtube.com/channel/UCRcGq7mDsvVRjaxC4f6Zjxw
50|01.03.2019 08:01:11|Mikhail Polyakov|А почему Вы пишите организатора  Уралсиб, а на сайте Русбонд пишут  банк Зенит
51|01.03.2019 08:01:49|Pavel Bilenko|Видимо, русбонд ошибся
53|01.03.2019 08:03:12|Mikhail Polyakov|Доброе утро  Может глупый вопрос......а организатор выпуска проверяет документы и какую то ответственность несет за первичную информацию 
54|01.03.2019 08:18:38|Aleksandr|А вот и реклама новых выпусков Агроэлиты  шутка 
56|01.03.2019 08:19:23|Mikhail Saratov|это же индейка, а не свинина
57|01.03.2019 08:19:43|Aleksandr|Друзья эмитента много будут брать от выпуска В процентах примерно
58|01.03.2019 08:21:20|Pavel Chelyshkin|Как универсиада связана с агроэлитой
59|01.03.2019 08:21:46|Aleksandr|местоположением например
60|01.03.2019 08:23:04|Pavel Chelyshkin|Т.е. любая фотка с Красноярском  реклама агроэлиты Оригинально
61|01.03.2019 08:23:58|Aleksandr|не , не так , любая фотка с клоунами в шубе.Так оригинальней.
62|01.03.2019 08:25:07|Pavel Chelyshkin|Пардон, не знал, что это новое лицо этого бренда
63|01.03.2019 08:28:26|Aleksandr|Все, выдыхайте  .Сбер кое что решил оставить остальным инвесторам
64|01.03.2019 08:28:27|Aleksandr|SBER Сбербанк не собирается скупать всё на российском рынке  Греф YNDX Сбербанк удовлетворен ростом бизнеса Яндекс.Маркета  Греф
66|01.03.2019 09:19:41|Aleksandr|Павел, еще раз спрошу.Сколько от выпуска заберут себе в портфель друзья эмитента  Я пытаюсь понять сколько процентов уйдет в рынок , так сказать на улицу.
