|time|user|text
1|08.04.2020 17:08:40|Aleksandr|В военное время тыл укрепляют , не 
2|08.04.2020 17:09:53|Ярослав Иванович|А где сейчас тыл
3|08.04.2020 17:10:12|Aleksandr|в экономике.Ей кормить военных.
4|08.04.2020 17:11:03|Andrey Hohrin|Мясничий живее всех живых https//www.prodexpo.ru/ru/media/news/index.phpid413583
5|08.04.2020 17:12:13|Ярослав Иванович|Вот и кормят как могут. А укрепляли 20 лет
6|08.04.2020 17:15:31|Mikhail FarEast|Неверная информация. Магнит упал после ухода основателя
7|08.04.2020 17:23:38|Andrey Hohrin|Сбербанк решил с 9 апреля перевести все отделения в обычный режим работы Подробнее на РБК
8|08.04.2020 17:24:01|Andrey Hohrin|оттепель
10|08.04.2020 17:24:57|Дмитрий Адамидов|то говорили что 6 мая откроются
11|08.04.2020 17:25:07|Alexander Kozhevnikov|скоро грядёт sell on may and go away
12|08.04.2020 17:25:33|Andrey Hohrin|а ты, Дима, думаешь, нам одним что ли скуШШШно
13|08.04.2020 17:25:43|Дмитрий Адамидов|не, я радуюсь наоборот
19|08.04.2020 17:49:20|Алексей ayaye :)|а патроны могут ну, чтобы в два магаза не ходить 
20|08.04.2020 17:49:51|Mikhail Evdokimov|А падение численности населения в 90е годы не аргумент
21|08.04.2020 17:52:37|MММ🥕🐹|Аргумент из серии тоже карантин виноват
22|08.04.2020 17:53:39|Andrey Hohrin|это аргумент против продажи паленого алкоголя и злономеренного выселения народа из квартир
23|08.04.2020 17:56:34|Mikhail Evdokimov|Падение экономики может
24|08.04.2020 17:59:05|MММ🥕🐹|Где эти миллионы жертв перехода на досирак из 90х 
25|08.04.2020 18:01:17|Алексей ayaye :)|падажжите. дошика ж не было тогда. ну в первой половине 90х точно не было.
27|08.04.2020 18:09:30|владимир|была афигенно вкусная китайская быстрозаварная лапша,хотя может это в детстве так казалось,после картохи
28|08.04.2020 18:29:57|Елена|По ОАЭ есть отчёт
29|08.04.2020 18:30:27|Andrey Hohrin|нет пока
30|08.04.2020 18:30:30|Mikhail Evdokimov|Численность населения РФ на 01/01/1991  148,27 млн на 01/01/2003  144,96 млн
31|08.04.2020 18:31:03|Елена|На Смарт Лабе странная информация по ней
32|08.04.2020 18:31:22|Andrey Hohrin|пришлите
33|08.04.2020 18:32:16|ALIEN|Что скажете по СуперОкс и Дядя Дёнер.. стоит доверять этим эмитентам
