|time|user|text
1|10.03.2020 08:38:57|С Б|Значит продадите позже по 80
2|10.03.2020 08:40:20|Владимир Тутынин|Только интересно по 70 добирать
4|10.03.2020 08:48:31|İldar Rafikov|Подгузники сегодня пригодятся
5|10.03.2020 08:55:24|А что ты сделал для котэ!?|Можно мне без 30 и без минус 30 Оставьте блондинку
6|10.03.2020 09:19:35|Reincarnation Man|Посмотрите на цену памперсов для взрослых  скорей всего еще больше подорожали. Если вообще все не смели 
7|10.03.2020 09:20:22|🦠 Dvaops|Ну что вы готовы к открытию
9|10.03.2020 09:21:03|İldar Rafikov|Не дай бог
10|10.03.2020 09:21:06|🦠 Dvaops|Либо откупишь либо зарежешь лося
11|10.03.2020 09:21:44|Aleksandr|К открытию торгов всем переволновавшимся .
12|10.03.2020 09:22:18|Антон|
13|10.03.2020 09:23:06|Adviser|Как бы чат настроить чтобы после 10 сообщения с жалобами на квик автоматом удалялись 
14|10.03.2020 09:24:04|valentina|Ага, и нытик банился на три дня
15|10.03.2020 09:27:32|Ruslandd|Распродажи начались, вполне ожидаемый шаг
16|10.03.2020 09:33:05|Rost|ну вусе сейчас все автосалоны продадут 2019 год и все кофеварки тоже
19|10.03.2020 09:36:18|Rost|бывает ...
20|10.03.2020 09:37:26|Aleksandr|Многие кто взял , все таки вышли в плюс потом.Правда конечно не в том обьеме что упал рубль
21|10.03.2020 09:38:28|Rost|а многие и несмогли продать точто купили по 2 три или более штук  мели все как в последний день суда
23|10.03.2020 09:41:06|Alexey Petryashev| Когда готовишься к открытию торгов сегодня.
24|10.03.2020 09:41:27|Alexey Petryashev|Готовность 20 минут...
25|10.03.2020 09:43:36|Rost|а сбер так и не открывается
26|10.03.2020 09:44:03|ОлегЕ.|раз
27|10.03.2020 09:44:52|Rost|да не я знал что такое будет потому вчера и писал ставьте заявки с вечера...
28|10.03.2020 09:45:27|🦠 Dvaops|Вы готовы дети
29|10.03.2020 09:45:48|А что ты сделал для котэ!?|А я чудом успел продать однушку
30|10.03.2020 09:45:56|Rost|Пардонте но в РФ словосочетание грамотно ксистеме госуправления применять нельзя
