|time|user|text
1|24.08.2019 09:15:58|Harry Lime|Ага
2|24.08.2019 09:16:02|Павел Мартынов|И еще минимальный объем покупки есть
3|24.08.2019 09:16:11|Alex|YTW 9.75
4|24.08.2019 09:16:40|Harry Lime|А как же , на сибондсе гляньте лот
5|24.08.2019 09:16:49|Андрей Хатаев|В описании на ммвб про это ничего не сказано. Только номинал 1000usd
6|24.08.2019 09:17:36|Павел Мартынов|А объем устанавливает эмитент или брокер
8|24.08.2019 09:18:14|Harry Lime|На ММВБ она для РЕПО
9|24.08.2019 09:18:47|Андрей Хатаев|Что интересно, ее советует и сам держит некто Евгений Коган
10|24.08.2019 09:18:47|Андрей Хатаев|Хорошие новости по золотодобывающей компании Petropavlovsk  агентство Fitch повысило долгосрочный рейтинг дефолта эмитента РДЭ российской золотодобывающей компании Petropavlovsk PLC до B с CCC, прогноз по рейтингу  позитивный. Основные причины, по мнению почтенного агентства улучшение ситуации с ликвидностью и запуск центра автоклавного окисления, что делает более прозрачным outlook по производству золота. Я бы еще добавил, что на рейтинг повлиял рост цен на металл за последнее время, а также дальнейшие перспективы золота. Сегодня бонды Petropavlovsk с погашением в 2022 г. предлагают доходность около 10 в долларах США. Продолжаю считать это относительно неплохим вариантом по соотношению риск/доходность. Остаюсь в позиции по данному инструменту. bitkogan
11|24.08.2019 09:22:53|Maksim|С этим все сложно.. Но я так понимаю, 100 штук
12|24.08.2019 09:24:58|Denis|Он много чего держит, только у него и эпичные провалы случаются.У него то в портфеле бумаг много,фэйл случится немного потеряет.А вы если с одной бумагой будет больно.
13|24.08.2019 09:25:51|Maksim|Не, ну а где сейчас найти бумаги с хорошей дохой в долларах и с риском хотя бы уровня АФК
15|24.08.2019 09:29:23|Андрей Хатаев|Согласен. Но я пока просто изучаю различные предложения на рынке.
17|24.08.2019 09:30:34|Denis|Без большого риска большого купона не будет....селяви
18|24.08.2019 09:51:57|Harry Lime|Друзья , надо делать перезагрузку мозга. Коган уже и Теву насоветовал, не аргумент. Давайте подумаем макроэкономически , на рынке назревает трындец происходит тотальный риск офф. Вы знаете какой актив дал наибольший рост с начала 19 года
22|24.08.2019 09:57:17|Maksim|А золото еще Там вроде за 15
23|24.08.2019 09:57:32|Harry Lime|Золото купон не платит
24|24.08.2019 10:00:51|🚲|Какая разница платит или не платит Важен итоговый результат
25|24.08.2019 10:00:53|Maksim|Коган, справедливости ради, топил за Петропавловск до инверсии. Потом не знаю, не читал. Но понятно, что сейчас немного другие условия. По моим наблюдениям сейчас все защитные активы на хаях. Но я заметил, что никому нахрен не нужны бумаги с переменным купоном. А я наоборот думал что дело идёт к гиперинфляции. Кто что думает 
26|24.08.2019 10:02:12|Harry Lime|Покупая преддефолтиников ССС и суборды с риском списания вы не заработаете в кризис. Ваши 10 годовых так и останутся потенциальными. Посмотрите на Аргентину. Была 12 в тиньке , стала 40. В этом направлении и будет движение
27|24.08.2019 10:02:15|🚲|Учитывая пузырь на долговом рынке, похоже на то. Только когда это будет
28|24.08.2019 10:03:10|Harry Lime|Нужны не защитные активы , а недооцененные по риск профилю
32|24.08.2019 10:10:45|Алексей ayaye :)|рус 28 менять на что менять заработок пока только потенциальный 
33|24.08.2019 10:10:54|🚲|а ещё ЦБ Англии предлагает лишить доллар статус резервной валюты.
34|24.08.2019 10:11:27|Harry Lime|Будет на что менять , помощь идет
