|time|user|text
3|14.12.2019 15:25:33|Alex Petroff|Вот так, с казалось бы глупого тезиса, вы успешно доказали эффективность вложений в третий листинг. Без моей помощи, заметьте
4|14.12.2019 15:32:53|Elena Nikitina|Сегодня суббота, поэтому расскажу забавную историю. Мой муж в Сбербанке был атакован менеджером на предмет покупки ИОС. Муж перевёл стрелки на меня  мол, жена инвестициями занимается. Все вопросы к ней. Ну звонит мне этот менеджер и пытается закрыть разговор на встречу со мной в офисе. Но я сама продажник прожжённый и такие вещи сразу секу. И говорю ему давайте я вам коротенечко расскажу, какие у нас с мужем портфели. А дальше уже скажете, нужна ли нам встреча. А у меня в моём портфеле 30 ВДО, в чем я ему честно призналась. Ну и что раздумываю про КО. Что сделала себе квала недавно на всякий случай. Менеджер был в шоке. Он сказал, что среди всех его клиентов в Сбербанке Первом я ЕДИНСТВЕННАЯ, у кого есть ВДО. У людей МАКСИМУМ акции это цитата. И это немаленький областной центр в 300 км от Москвы
7|14.12.2019 15:35:20|Harry Lime|ИОС  это мрак
9|14.12.2019 15:35:43|Elena Nikitina|Исходя из Вашего рискпрофиля, я бы Вам предложил бы структурную ноту рассмотреть. Кстати, инструмент, с которым в Премьере не работают. Презентацию скину сейчас
13|14.12.2019 15:37:15|Harry Lime|Ваш уровень доходности высоко выбивается из общей массы , поэтому мы решили сравнять его путем продажи вам структурных продуктов.
14|14.12.2019 15:37:21|Elena Nikitina|презентацию скинуть и как он пытался мне это продать
17|14.12.2019 15:38:04|Harry Lime|Конечно кидайте , посмотрим , чем пытается зацепить Сбер
20|14.12.2019 15:39:46|Andrey Hohrin|Я, по правде, не очень понимаю, кто в таком количестве к нам пожаловал. А спрашивать неловко.
21|14.12.2019 15:39:55|Elena Nikitina|блин, а у меня ума не хватает из вотсапа сюда пдф перекинуть
22|14.12.2019 15:40:24|Шура SiberianRanger|Скачать на телефон, потом загрузить
26|14.12.2019 15:44:57|Harry Lime|А ноты нет презентации 
27|14.12.2019 15:45:25|Elena Nikitina|я отказалась. зря поглумиться хотелось 
30|14.12.2019 15:46:31|Harry Lime|Не , посмотреть , что предлагают , сразу хотят опустить или дадут немного пополучать купоны
31|14.12.2019 15:49:04|Иван Хз|Мои родители пенсионеры только сегодня звонили и рассказывали, что им сбербанк сделал суперпредложение разместить их депозиты на супероблигациях. Что то сбивчиво говорили о зависимости рубля к доллару.Я им сказал шлите лесом. А тут вон чего.
32|14.12.2019 15:49:50|Dmitry|Я не понял, третья составляющая расчёта по модулю берётся или как В смысле это число может же быть большим и отрицательным
33|14.12.2019 15:50:18|Elena Nikitina|Как он мне это продавал. Всем известно, что во время кризиса золото дорожает. Сбербанк разработал идеальное решение если SampP падает, то золото будет расти
35|14.12.2019 15:52:00|Dmitry|Ну ок, но формально что будет, если третья составляющая будет отрицательным числом по модулю учтут значение или как
37|14.12.2019 15:53:46|Григорий Мошорин|Я когда приезжал на малую родину, 100 км от Иваново и помогал человеку открыть брокерский счет, то ещё приключение 
38|14.12.2019 15:53:57|會及Q及刄み會|Как можно разместить депозит на облигациях...
39|14.12.2019 15:55:28|Григорий Мошорин|Также как предлагали исж оформить вместо депозита
