|time|user|text
1|10.04.2020 18:15:44|Алексей ayaye :)|родственников не выбирают 
2|10.04.2020 18:17:11|In|Хорошо братья.
3|10.04.2020 18:18:54|Dmitry Tarasov|Ральф г.., 2 пары туфлей сносились за полтора года, не знаю, что там немецкого
5|10.04.2020 18:25:55|А что ты сделал для котэ!?|Я не замечал их открытия  Тот что на Тверской  так и остался Но я читал, что они много точек закрыли
6|10.04.2020 18:26:16|Marina Bardina|Ктонибудь знает, что за эйфория в Обуви и ЛизингТрейде
7|10.04.2020 18:26:37|А что ты сделал для котэ!?|Батальон Бранденбург
9|10.04.2020 18:28:00|Harry Lime|А вам что больше нравится  обувь или лизинг
10|10.04.2020 18:28:21|Marina Bardina|Я и там, и там застряла
11|10.04.2020 18:28:53|laslo Fish|Старик Хохрин гонит в бой резервные полки
12|10.04.2020 18:28:55|Harry Lime|Так надо было усреднить ... и потом куда бежать
13|10.04.2020 18:29:31|Marina Bardina|Усреднять страшно, ибо и так много.
14|10.04.2020 18:30:10|Andrey Hohrin|помоему, пятница, и когото попросту отпустило на фоне долгой алкотерапии
16|10.04.2020 18:31:05|Harry Lime|Ну ничего же не изменилось в моменте для Обуви или ЛТ , влияние начнет ощущаться через пару кварталов
17|10.04.2020 18:31:40|Marina Bardina|Через пару тоже не хочу сюрпризов
18|10.04.2020 18:32:00|Andrey Hohrin|раньше.
19|10.04.2020 18:32:05|Doctor|Кто нить обращал внимание на облигации АшинскийМЗ По 80 от номинала идут. Отчётность понравилась, я пока акции малость прикупил.
20|10.04.2020 18:32:38|Andrey Hohrin|отчетность понравилась  это как
21|10.04.2020 18:33:20|Marina Bardina|Чего вы пугаити 
22|10.04.2020 18:33:29|Doctor|Ну на мой субъективный взгляд очень хорошо все у эмитента. Но почемуто он по 80 идёт. Возможно я чтото не понял или не знаю.
23|10.04.2020 18:34:00|Harry Lime|Там много вопросов , Аша неоднократно обсуждалась
24|10.04.2020 18:34:56|Andrey Hohrin|я все про отчетность... интересное у Вас к ней отношение
25|10.04.2020 18:37:42|Doctor|Ну хорошо. Долг невысокий хоть и в евро, выручка растёт. Инвест проект вышел на стадию окупаемости, компания показала прибыль. Инвестиции профинансированы Чешским экспортный банком, что у меня уже доверие вызывает. Какого то негатива не вижу, который бы 20 дисконт на облиги дал.
26|10.04.2020 18:38:27|Andrey Hohrin|спасибо
29|10.04.2020 18:39:40|Doctor|Смутили только оговорки аудиторов в заключении. Но они не существенные с точки зрения бизнеса.
30|10.04.2020 18:45:06|Harry Lime|Кипрские собственники , вопросы с налоговой , копеечный купон привязанный к ключевой , старый длинный выпуск.
31|10.04.2020 18:45:16|TrendRadar| КартаРынка ВДО  Хуже рынка 1 2.25 КИСТФ БОП1 2 1.27 Атомстр 01 3 0.85 ГарИнв1P05 4 0.41 ЮниМетр01 5 0.37 ЛнССМУБ1P1  Лучше рынка 1 3.48 Кузина1P01 2 3.05 ДДёнерБОП2 3 2.53 ИСпетр1P1 4 2.44 АПРИФП БП2 5 2.35 КарМаниБ03
32|10.04.2020 18:49:34|Deni Le|НОВОСТИ КОМПАНИИ Публикуем результаты деятельности за I квартал 2020 года. По итогам квартала компания смогла сохранить ключевые портфельные показатели на уровне года. А это, с учетом текущей обстановки, говорит о стабильной устойчивости. Портфельные показатели Лизинговый портфель  1,92 млрд. руб. Сумма заключенных договоров лизинга  281,48 млн. руб. Колво заключенных договоров лизинга  30 шт. Колво предметов лизинга, переданных по договорам  45 шт. Средний срок договора лизинга  30 мес. Структура ссудной задолженности 932 млн. руб. Облигационные займы  411 млн. руб. Банковские кредиты  521 млн. руб. Коэффициент соотношения остатка лиз. платежей к ссудной задолженности  2,1 I квартал 2019 года, традиционно, для компаний является трамплином для будущих достижений. Компания Роделен показала хороший старт. Есть большие амбиции и большие проекты на 2, 3 и 4 кварталы. Мы собираемся в полном объеме выполнить поставленные планы лишь с небольшими корректировками в связи со сложившимися обстоятельствами. За последнюю неделю, произошло значительное увеличение обращений в компанию за услугами лизинга. А на следующей неделе мы ожидаем первые отгрузки в условиях самоизоляции. А это говорит о том, что Бизнес адаптируется и не стоит на месте. Современные проблемы требуют современных решений. И Лизинговая компания Роделен их предоставляет решения. Больше информации на сайте https//www.rodelen.ru/
33|10.04.2020 18:50:38|Алексей ayaye :)|Штирлиц знал, что запоминается только последняя фраза 
34|10.04.2020 18:52:35|Doctor|Спасибо.
35|10.04.2020 19:03:59|In|Под оферту лучше дэни пока нет.
36|10.04.2020 19:06:06|Rost|Сегодня страсть по пятнице у амеров и евро , а в пнд работают или нет  кто в курсе
37|10.04.2020 19:20:48|Dmitry Manzor|
39|10.04.2020 19:25:52|Балянов Вячеслав|Америка работает, Европа  нет
40|10.04.2020 19:30:05|MММ🥕🐹|Да отличная маза взять по 67 сдать по 69 
41|10.04.2020 19:31:47|In|В январе и по 100.
42|10.04.2020 19:33:13|MММ🥕🐹|Хочу в апреле 5 на оферте, а в январе не хочу по 100
43|10.04.2020 19:33:21|Aleksandr|Судя по почерку  Миха 
44|10.04.2020 19:35:45|MММ🥕🐹|Не это всезнающий Щурик он же голос народа
45|10.04.2020 19:41:25|Dmitry Manzor|Если бы не чат, спать бы лёг. А.Х надо иногда повышать голос и баксами размахивать в экран
46|10.04.2020 19:41:59|Aleksandr|Мих, ну чо ты задираешся Ну ты хейтер Иволги же. А я не всезнающий конечно, просто спорю по тем вопросам в которых разбираюсь. Люди ж порой настолько очевидно и авторитетно пишут ересь , что грех не сбить с них корону .
47|10.04.2020 19:46:42|MММ🥕🐹|Откуда бы не был RR и какие бы боты не клепал он все равно крупнейший российский производитель в отличии от того же ОРа
48|10.04.2020 19:47:27|Ruslandd|И многим удалось сбить корону
49|10.04.2020 19:47:58|Aleksandr|Нет. Некоторым просто поправить.
51|10.04.2020 19:50:38|MММ🥕🐹|ОР это чисто обувной Каскад да 
52|10.04.2020 19:51:02|Aleksandr|Мысль не понял твою.
53|10.04.2020 19:52:08|MММ🥕🐹|Купил в Китае  продал в РФ
54|10.04.2020 19:53:47|Aleksandr|Ну в целом да , но есть нюансы. Разработал модель , технологию, брендировал , отконтролировал процесс производства.
55|10.04.2020 20:03:16|Aleksandr| россия вирус контроль В Москве вводится пропускной режим  Собянин Пропускная система будет носить заявительный характер и будет вводиться постепенно. бизнес В Москве на неделю в принудительном порядке прекращается деятельность большинства предприятий
56|10.04.2020 20:03:39|Aleksandr|Приехали нах
57|10.04.2020 20:05:40|Rodan|А все потому, что много уверенных, что вирус фейк и ничего страшного...
58|10.04.2020 20:08:22|Aleksandr|Собянин объявил о введении в Москве спецпропусков На первом этапе будет введено ограничение для поездок на работу, заявил мэр. Ограничения будут введены на следующей неделе Подробнее на РБК
59|10.04.2020 20:09:29|Dmitry Manzor|Совсем там вольтанулся Ещё бы талоны на сахар ввёл
60|10.04.2020 20:09:54|Nik Alex|Все ещё впереди 
