|time|user|text
1|20.03.2020 20:53:52|Aleksandr|Выдохся красава . Сегодня ставил я биды , не налили
2|20.03.2020 20:53:55|MММ🥕🐹|Да обороты рыночку и избе комис делаю  слил по 85 забрал по 85 
4|20.03.2020 20:55:29|Dmitry Manzor|сегодня я пополнил счёт и ждал пока из рук Михи выскочит бумага по 85, но тщетно
5|20.03.2020 20:55:45|Aleksandr|Какие ты выпуски миллионами продавал/покупал по 85 
6|20.03.2020 20:56:16|MММ🥕🐹|Могу даже по 75 отдать если коридор дадут 
7|20.03.2020 20:59:12|Aleksandr|Выпустите Миху в коридор немедленно
9|20.03.2020 21:47:49|Evgenii K|А почем вы их брали Так то и я сегодня на тысяч 500 облигаций продал, но конечно не так щедро.
10|20.03.2020 21:48:12|MММ🥕🐹|По номиналу ясен пень
11|20.03.2020 21:53:07|Evgenii K|А почему тогда так довольны Думал спекульнули розданное людьми по 7585. Или это ирония, которую я не уловил
12|20.03.2020 21:54:31|MММ🥕🐹|Ирония в НОБе который ушёл в минус
13|20.03.2020 21:58:39|Evgenii K|Интересная у вас методика оптимизации налоговой базы. 
14|20.03.2020 21:59:34|Aleksandr|Лишь бы не ворочать мешки
15|20.03.2020 22:01:39|MММ🥕🐹|Шо есть с тем и приходится крутится  ни копейки государству 
16|20.03.2020 22:01:51|Evgenii K|Подождите пн, нальют. Америка как и положено, опять краснотой залилась, если позитива в выходные не будет, увидим много вкусных предложений по 90. Меня скорее сегодняшний проблеск солнца на нашей поляне удивил.
18|20.03.2020 22:03:57|Alexey|Куда путь держим на Ваш взгляд Вот туда
21|20.03.2020 22:05:04|Aleksandr|Дело в том , что корреляции с экономикой США и дефолтами в ВДО прямой нет. А движение ставок на рынке учтено в ценах ВДО в диапазоне 9096  . А все что ниже  либо истерика либо риск скорого дефолта
22|20.03.2020 22:05:52|Alexey|Чуток не соглашусь. Относительно здоровые hy эмитенты в сша сейчас уже по 7580 часто. А мы как то вот...
23|20.03.2020 22:06:06|Evgenii K|Я скорее по Америке смотрю. Куда она, туда и мы. А она по SP на 2050 сходить должна. А даст бог, и к 1800.
24|20.03.2020 22:07:25|Alexey|Согласен. Только в норму пришли. Надо отклоняться вниз от нее
25|20.03.2020 22:07:27|Aleksandr|Там аналогии примерно как проблемы у Игоря Ивановича и проблемы у комбайнера в Ростовской области. Оба в принципе на работу ходят .
26|20.03.2020 22:08:10|Evgenii K|Наш фондовый рынок это странная проекция сша, а вдо с российской фондой связано сильно. Посмотрите и на истерию, и на нехватку ликвидности на этой неделе.
27|20.03.2020 22:08:20|Alexey|Вот вот. И Игорь Иваныча ставка ноль. А у комбайнеров наших  нет
28|20.03.2020 22:08:39|Adviser|Движение ставок ЦБ и нефть может быть и учтены в текущих ценах, а изменение экономической ситуации думаю нет
29|20.03.2020 22:08:43|MММ🥕🐹|Пока ковид непобежден ещё поколбасит всех 
30|20.03.2020 22:09:12|Alexey|Только что Иллинойс ушел в себя. Это 1/2 ввп Рф примерно
32|20.03.2020 22:09:52|MММ🥕🐹|Я удивлён почему Москва все ещё не ушла  ожидаю 2526 марта обращение царя к нации и карантин
33|20.03.2020 22:10:13|Evgenii K|Тут скорее всего как в 2007/09 будет. Началось с одного, а схлопываться будет потом совсем в другом краю. Но полностью согласен, пока есть пугало ковида, света белого не будет.
34|20.03.2020 22:10:18|Alexey|Ждут круглой цифры зачем то имхо. 500 или 1000
35|20.03.2020 22:11:01|Aleksandr|Это у них болезнь как у нас с котом 
36|20.03.2020 22:11:08|MММ🥕🐹|Ну да уже все везде расползлось теперь вопрос только в постепенном ужесточении или мгновенном
37|20.03.2020 22:11:54|Evgenii K|Честно говоря, ждал немного, что мб сегодня объявят, даже валюты прикупил побольше с вчерашнего вечера и утром ожидая скачка. Не дождался. Теперь буду к следующей пятнице ждать
38|20.03.2020 22:12:23|MММ🥕🐹|Средачетверг вангую если судить по динамике 
40|20.03.2020 22:14:31|Evgenii K|Да, они хорошо понимают, что вирус уже в городе по диагнозам пневмонии. Просто, видимо оттягивают. Если бы объявили вчера, то было бы оч больно рынку.
42|20.03.2020 22:15:29|Aleksandr|И Франция
43|20.03.2020 22:15:56|MММ🥕🐹|Старуха Меркель тоже в субботу воскресенье обещала дать прессуху  будет интересно послушать Дойчей всеж таки кроме как на них больше не на кого надеятся в ЕС
44|20.03.2020 22:15:58|Evgenii K|Прекрасные страны, имхо. Я даже о домике в Италии подумывал 
45|20.03.2020 22:16:32|MММ🥕🐹|Пфф... звучит как бунгало в Камбодже
46|20.03.2020 22:16:54|Mikhail Strovsky|Что вот вы нервничаете Иволга рекомендовала брать 10 от портфеля и по 5 от всех остальных Не рухнут они все. Я еще от себя 34 беру Кармани и Планирую около 10 ГТЛК взять, снизив долю Роделенов и Мясничих до 4
48|20.03.2020 22:18:31|MММ🥕🐹|Нормально все  ржу чета
49|20.03.2020 22:20:55|Evgenii K|Так мы и не нервничаем. Я скорее с нескрываемым вожделением на пролив смотрю. Теперь просто умнее буду пролив брать. А то нахватал по 9297, а потом фиг их продашь, благо сегодня выпустили ото всюду. Но чтото мне кажется, что 7579 мы массово больше не увидим. Волнительные вышли, только если кому то ликвидность очень нужна будет.
50|20.03.2020 22:26:22|Oleg Egorov|Я немного модифицировал этот кейс  когда было сильное падение на этой неделе, я купил подешевевшие GAZP34 и GAZP37 в маржу под залог имеющихся у меня RUS28 и RUS30, а когда RUS28 отросли немного обратно  продал часть RUS28, погасив долг. Таким образом, минимизировал убыток от продажи RUS28, продав их не на максимуме просадки одновременно с покупкой GAZов, а попозже и подороже...
51|20.03.2020 22:26:48|Evgenii K|Ну, не знаю бунгало или нет, но был и там, и там, и скажу, Италия сильно приятнее. Но видимо на вкус и цвет.
52|20.03.2020 22:28:04|MММ🥕🐹|Тоже был и мнения противоположного 
53|20.03.2020 22:28:58|Evgenii K|Кстати, тоже интересно, не беспокоитесь, что тело сильно вниз пойдет и потом долго восстанавливаться будет И до своих 150155 мб даже никогда не вернется Или вас в целом доходность устраивает, а далее не так важно
54|20.03.2020 22:30:40|Sergey Tokarev|несколько раз закидывал старик невод... первый раз кстати в 2008... смотрю читаю и думаю ВДО конечно тогда не было но психология похожа. тогда читал форумы, смотрел РБК. 2014г уже поинтереснее инфы больше, тусил восновном на банках, но примерно все одинаково. мне кажется рано покупать любые актывы, я бы сидел в засаде и ждал. сейчас потрясающий по скорости замес раньше падали дольше и сложнее очевидно по прошлым кризисам что до остановки еще далеко. Рынки в середине своего падения, реальный сектор только начал... я даже не про страх и жадность, про здравый смысл. накипело просто. многие здесь уважаемые люди, умные, сейчас берут и покупают... не знаю, но почему то уверен что будет очень сильное падение во всех активах, с дефолтами и болью. зачем подхватывать падающие ножи помоему ведь очевидно что не отпадало еще конкретно, не завершаются так циклы падения
55|20.03.2020 22:30:56|Oleg Egorov|Меня, в первую очередь, денежный поток от них интересует, а он неплохой очень. И за восемь лет его очень хорошо и с пользой капитализировать можно. Да, средняя покупки RUS28 у меня как раз 155 гдето
56|20.03.2020 22:32:46|Harry Lime|Я боюсь оставаться в валютных бумагах , а длинных просто боюсь , опять таки думаю еще будут возможности покупки коротких корпов типа Лукойл , Новатэк , Газпромнефть , Норникель , Полюс 35 лет с дохой 56.
57|20.03.2020 22:34:21|laslo Fish|Так и в акциях Америка много показывала удвоение вниз, а на мамбе это скорее редкость. Прямых процентных зависимостей скорее нет, чем есть.
58|20.03.2020 22:35:38|Sergey Tokarev|думаете начнется перелом с повышением ставок впринципе вполне возможно как средство сдерживания гиперинфляции
59|20.03.2020 22:35:43|Oleg Egorov|Насчет длинных,наверное, боязнь мне понятна  длинная дюрация собирает на себя все риски, и цена может нырнуть очень сильно, заперев и не давая выйти по своему усмотрению. Но почему страшно в принципе в валютных оставаться  А как же идея пенсионного ИИС Б с GAZPR34 
60|20.03.2020 22:37:27|Evgenii K|Сам наблюдал 2008, ровно такое же чувство сейчас. Вот схожие ощущения от периода банкротства Лемона и этих 2х недель. Это просто самая острая стадия была, а дальше долго и нудно вниз. По теме, подруга из Денвера сейчас пишет Нас по слухам переводят на полный lock down, То есть, один человек из семьи может иногда съездить за продуктами, По всей стране, Пойду сегодня куплю вина, Много.
62|20.03.2020 22:39:18|Антон|В Испании именно такой режим lock down с 15 марта. Закрыто вообще всё, что можно. Общенациональный запрет на передвижения без крайней необходимости. Дичайшие штрафы и даже тюрьма
63|20.03.2020 22:41:24|Harry Lime|Я на карантине по покупкам валютных бондов на 2 недели , жду погашения ТМК 20.
64|20.03.2020 22:41:28|Evgenii K|Ага, по Италии в курсе. Другая подруга высылает как они поют с балкона вечером. Но где Италия, и где США. Я к тому, что если сша запрут  это очень очень очень больно для экономики.
65|20.03.2020 22:43:00|Oleg Egorov|Ну сами посудите, у RUS28 годовой купон 129 долларов, что при моей цене покупки 1550 долл дает текущую доходность 8,34 годовых в долларах без регистрации и СМС. Понятно, что к погашению будет меньше, но это будет через 8 лет.
66|20.03.2020 22:43:12|Mikhail Strovsky|Что вы боитесь. Лежат в вечных бондах деньги, стригу бабло дважды в год 9,5 купон, по 4,75, чем плохо
68|20.03.2020 22:43:55|Антон|Вы знаете, даже если и не запрут США, как у нас, то те меры, которые принимают некоторые страны Европы ... Я даже не могу представить себе последствий для экономики ... Считайте, страна месяц примерно взаперти. Экономика просто колом встала. Бизнес щас пачками будет помирать, тащя за собой всё ...
69|20.03.2020 22:44:15|Adviser|Думаю как раз вовремя придут. Им даже ещё настояться можно дать время 
70|20.03.2020 22:45:47|Антон|Ну вот даже если взять Испанию самолёты почти не летают, жд и автобусное сообщение между городами почти парализовано. Кафе, спорт центры, магазины, такси, кинотеатры  ничего не работает. Производство встало колом. Я хз чо будет дальше ....
71|20.03.2020 22:45:54|Evgenii K|Да, через месяц увидим в отчетах, через 23 месяца в банкротствах. Ждать не долго осталось.
73|20.03.2020 22:48:39|Pavel Panin|а переоценка будет при погашении
74|20.03.2020 22:48:47|Harry Lime|Прикиньте , вам надо их продать , а дают только шисят
77|20.03.2020 22:50:20|Pavel Panin|а если меньше трех лет
78|20.03.2020 22:50:55|Harry Lime|Переоценка по разнице с текущим курсом и курсом покупки
79|20.03.2020 22:51:10|Pavel Panin|есть ли разница продать по номиналу чуть раньше или держать до погашения VEB 20, TMK , PGIL
80|20.03.2020 22:52:07|Harry Lime|Вы здорово увеличите НОБ , если не умеете с ней работать могут быть проблемы
81|20.03.2020 22:52:55|Soa|нет проблем ни каких..просто заплати налог
82|20.03.2020 22:53:03|Harry Lime|Нунафиг
83|20.03.2020 22:53:22|Soa|А гордость за отечество
