|time|user|text
1|31.03.2020 13:18:23|MММ🥕🐹|Я тоже 
2|31.03.2020 13:20:11|Aleksandr|Не в том ли дело что ЦБ просто соблюдает пропорции в портфеле 
3|31.03.2020 13:28:53|mikish18|Не можем не отметить, что целый глава комитета Госдумы по бюджету и налогам Андрей Макаров не в курсе того, какой величины на данный момент ключевая ставка в стране. Комментируя принятие закона о налоге с депозитов, он заявил, что если бы закон вступил в силу сегодня, то данный вычет составил бы 62,5 тысячи рублей. То есть он уверен, что ключевая ставка составляет 6,25. И эти люди принимают для нас законы. fatcat18
4|31.03.2020 14:02:49|Alexi|Да он пустозвон по жизни, неудивительно. Знаменит своими жёсткими и пафосными речами на завтраках Сбербанка он там главный приглашённый шут
5|31.03.2020 14:07:16|Dima Seleznev|Макаров  РЕДКОСТНЫЙ урод. Говорю по личному общению на ТВ
6|31.03.2020 14:11:22|Dmitry Manzor|он проводил закон об освобождении от налогов лиц, которые попали под санкции ну он не виноват.. партийный деятель
8|31.03.2020 14:13:52|Artem Maslakov|Даже не удивительно
9|31.03.2020 14:18:29|Андрей Гаврилов|
10|31.03.2020 14:23:59|Aleksandr|Особенно интересно сейчас будут выглядеть налоги по RUS 28 и RUS 30 . Доходность станет отрицательной
11|31.03.2020 14:25:38|Harry Lime|Кстати про еврооблигации Минфина прямых указаний нет , подождем раз,яснений
12|31.03.2020 14:28:26|Aleksei Zzzz|И по поводу отрицательной доходности я бы не горячился. Просто возьмите цену погашения  сумму купонов до погашения с вычетом налога  текущую цену. Явно ведь плюс.
13|31.03.2020 14:29:29|Aleksandr|И отнимите долларовую инфляцию
14|31.03.2020 14:29:37|Sergey|В законопроекте указано, что применяется КС, установленная на начало налогового периода, то есть, если бы правила применялись сейчас, то сумма вычета действительно составила бы 62.5 тыс руб КС на 01.01.20  6.25
16|31.03.2020 14:39:21|Georgii|и это тоже. только это не обязательно качества предпринимателя. в 90тых могла быть отмороженность, низкая ценность собсвенной и чужой жизни и умение метко стролять работал я на одном предприятии которым нувориш руководилкончилось пару лет назад тем что довольно крупный бизнес разорился, всё таки тут уже требуется системной, поступательность движения, а не умение первым выхватить ствол и выстрелить
17|31.03.2020 14:45:24|Dmitry Manzor|Обувь хвалят, добавили ей 3 пункта. А вот акции чтото не оторвутся от 30. А если ещё и дивы отменят, но хомяки повыскакивают
18|31.03.2020 15:03:30|Yaroslav|Если дивы отменят кстати будет очень интересно  котировки упадут для докупа, и будет дополнительный запас прочности для облигаций или байбек. Но по идее кушать мажоритарий тоже хочет. Не продаю и если будет ниже 30 с радостью добавлю.
19|31.03.2020 15:11:47|А что ты сделал для котэ!?|А должны быть указания Они же Тоже подпадают под понятие облигации стран участников союзного государства
20|31.03.2020 15:27:09|Georgii|ну вроде какпо крайней мере некоторые они эмитированы то за его пределами.
22|31.03.2020 15:35:23|Ярослав Иванович|Интересно, конечно. Бюджет не пересматривают, хотя очевидно, что нацпроекты умерли. Зато людей грабят на перспективу
23|31.03.2020 15:35:33|Harry Lime|ОК , значит останется только отсутствие переоценки
24|31.03.2020 15:36:36|Andrey Hohrin|а откуда табличка, если не секрет
25|31.03.2020 15:36:56|Dmitry Manzor|Компания доход https//www.dohod.ru/ik/analytics/share
26|31.03.2020 15:39:03|Andrey Hohrin|Знаем такую. Спасибо
27|31.03.2020 15:41:12|Evgenii K|да, грусть для бондовиков. Очередной американский исполин прошлого умирает. Впрочем в 2016 они как то выползли из 6 долларов. Про 3.  это интересный факт
28|31.03.2020 15:42:02|Harry Lime|Вести с полей США , USS26 дают по 65
29|31.03.2020 15:42:42|Evgenii K|ну, пока еще много веры у держателей
30|31.03.2020 15:43:02|Harry Lime|Видимо 45 рекавери  20 рисковая часть , очень похоже на правду , у них же есть завод
31|31.03.2020 16:01:20|Александр Шумаков|Получается, что до мульта вообще нет смысла на биржу заводить... проще на вклад
32|31.03.2020 16:20:04|Adviser|Имеет, если риск вдо приемлем для вас. Если нет, то до миллиона ОФЗ и муниципалы скорее всего будут проигрывать депозитам
33|31.03.2020 16:28:56|Aleksandr|Главврач Коммунарки заболел коронавирусом. А совсем недавно он принимал президента...
34|31.03.2020 16:31:52|Andrey Hohrin|Госдума отказалась увеличить срок выплаты дивидендов до 90 дней с даты закрытия реестра акционеров, которым они полагаются. 1 Однозначный плюс для нас с вами, но минус  для компаний. 2 В период кризиса отсрочка дивидендных выплат помогла бы им сохранить стабильность. 3 Влияние на рынок нейтральное. PS. Сейчас этот срок составляет до 25 рабочих дней.
35|31.03.2020 16:31:52|Andrey Hohrin 31.03.2020 16:28:37|Знаете, какое у меня ощущение Что в Кремле и Белом доме все перепуганы, и пытаются любой кэш скопить
38|31.03.2020 16:32:48|MММ🥕🐹|И Собянина  а Песков самый хитрый был в очках и маске 
39|31.03.2020 16:35:40|Aleksandr|Ну так то Вова еще и министра здравоохранения на обратном пути к себе в машину посадил
40|31.03.2020 16:36:20|MММ🥕🐹|Через неделю будет ясно на кого чихал 
41|31.03.2020 16:36:23|Aleksandr|Хорошо что к тебе не приехал , да  А то как бы мы тут без тебя
42|31.03.2020 16:36:50|Mikhail FarEast|Бюджет же можно и другим способом легко пополнить, не обязательно через дивы. А заодно и миноритарных держателей кидануть
43|31.03.2020 16:37:03|MММ🥕🐹|Я в маске и очках хожу  нафиг нафиг 
44|31.03.2020 16:37:38|Aleksandr|Это кроме нас уже кто то читал Ты куда это посылал  Хоть не в газету какую
45|31.03.2020 16:38:04|Mikhail FarEast|Думаешь помогает Главврач тоже не нагишом ходил
46|31.03.2020 16:38:10|Andrey Hohrin|послать и прочитать не одно и то же
47|31.03.2020 16:38:48|MММ🥕🐹|Главврач обычный долб... это часто бывает...
48|31.03.2020 16:42:12|Aleksandr|Если взять это за основу, то тот кэш что они скопят  он не существенен. Им проще кэш не тратить, тк они скопили гораздо больше.
49|31.03.2020 16:43:27|Andrey Hohrin|да, в первую очередь власть не тратит. точнее, тратит на электорат. каждому по медному пятаку и рюмке водки. вроде как и настроение подняли рабочему классу.
50|31.03.2020 16:44:04|Aleksandr|На курс RUB явно жгут резервы.
51|31.03.2020 16:44:08|MММ🥕🐹|Дёшево и эффективно, других вариантов нету или они ещё хуже.
52|31.03.2020 16:44:17|Dmitry Manzor|170млн в день
53|31.03.2020 16:46:02|Aleksandr|На большую войну собрать не успеют. А маленькую нефтяную я б на их месте уже начинал .
54|31.03.2020 16:47:16|Dmitry Manzor|А если доля госва более 50 в компании. Ей что дивы себе увеличивать, что не распределять. Тоже на тоже
55|31.03.2020 16:48:56|Aleksandr|Если только это не вопрос какого то администрирования где целью является переместить кэш именно в руки бюджета , забрав у правления условной Роснефти.
57|31.03.2020 16:52:52|Dmitry Manzor|С условного 1млрд распределенных дивов Миша получит 130млн рублей. Ему выгодно чтобы компании платили дивы
58|31.03.2020 16:54:31|Andrey Hohrin|я не имел ввиду именно горячую войну. имел ввиду состояние общества и властей, которое можно охарактеризовать как мобилизационное
59|31.03.2020 16:55:33|Aleksandr|Власть мобилизуется похоже на какой то внутренний конфликт общественный.
60|31.03.2020 16:57:10|Mikhail Strovsky|Калита в директ не поступила....
61|31.03.2020 16:57:18|Aleksandr|Будем строить коммунизм Вождь возглавит движения недовольных масс
63|31.03.2020 16:57:44|Andrey Hohrin|при коммунизме нужно отменить деньги. не наш путь
64|31.03.2020 16:58:12|Mikhail Strovsky|Нет у меня свободных 300 тысяч на первичку
65|31.03.2020 16:58:16|Aleksandr|Китай не отменял, но строит .
67|31.03.2020 16:59:04|Mikhail Strovsky|Они в валютных облигациях, которые я хрен продам, ибо жду доллар по 100
68|31.03.2020 16:59:50|Aleksandr|Надо Адамидова звать на разговор. Завелась близкая ему тема.
70|31.03.2020 17:00:27|Andrey Hohrin|Дима, Дима, где ты, Дима
71|31.03.2020 17:01:41|Дмитрий Адамидов|я тут но я в конференции
73|31.03.2020 17:02:27|Aleksandr|Война на носу , ты чо 
76|31.03.2020 17:04:33|Harry Lime|Это в 10 раз больше Грузовичкова ...
78|31.03.2020 17:08:35|Mikhail Strovsky|Какую еще переоценку
79|31.03.2020 17:10:03|Alexander V. Ivanov|оппачки....
80|31.03.2020 17:10:14|Harry Lime|Здрасте , если брали бумажку при баксе 60 , по соточке заплатите 13 с 10060 с 40 рубчиков с каждого мать его доллара
81|31.03.2020 17:10:34|Mikhail Strovsky|Это если я продал ее
82|31.03.2020 17:10:41|Harry Lime|Ну да
83|31.03.2020 17:11:01|Mikhail Strovsky|А если я ее не продал, то красавчик и купон стригу радостно
84|31.03.2020 17:12:42|Harry Lime|Именно так , но и доллар для перевода в рубель не получить , кроме купонов
85|31.03.2020 17:13:24|Mikhail Strovsky|В 2099 должны выплатить евробонды втб  тогда и получу всю сумму
87|31.03.2020 17:13:46|Dmitry Manzor|дожить
88|31.03.2020 17:13:58|Mikhail Strovsky|Ну мои внуки доживут
89|31.03.2020 17:14:00|Harry Lime|Если цель получение купонов  никаких
90|31.03.2020 17:14:03|Mikhail Strovsky|Им достанется
91|31.03.2020 17:14:16|Dmitry Manzor|они пропьют, всё что нажито
92|31.03.2020 17:16:39|Ярослав Иванович|Всё давно объяснили же. Копят на нацпроекты, обещают прорыв. Вот только прорвалось в другом месте. А в каком хотели ничего
93|31.03.2020 17:22:23|Andrey Hohrin|ругать, конечно легко я иду по пути наименьшего сопротивления, но пока действия властей не похожи на спасательные в отношении экономики.
94|31.03.2020 17:24:05|Aleksandr|БаПки видимо копились не на это. Все настроено было на другую борьбу.
95|31.03.2020 17:25:14|Ярослав Иванович|Если бы спасали, то скорректировали бы бюджет и честно сказали, что с нацпроектами пока завязываем. Но царь отмашки ещё не дал
96|31.03.2020 17:29:01|Aleksandr|Микрофинансисты просят помощи Микрокредитные организации, пытаясь минимизировать потери в условиях разворачивающегося кризиса, направили письмо главе ЦБ Эльвире Набиуллиной с предложениями мер поддержки микрофинансового рынка. МФО просят до конца года право списывать просроченную задолженность на основании профессионального суждения, без судебного взыскания и до истечения срока исковой давности, как сейчас это делают банки. Также микрофинансисты предлагают не учитывать реструктурированные потребительские займы при расчете размера резерва, если реструктуризация была предоставлена в период борьбы с распространением коронавируса, и установить мораторий до июля 2021 года на нормативноправовые акты, выполнение которых требует значительных финансовых вложений. Изза очевидного обнищания населения в связи с потерей доходов и утратой работы стоит ожидать беспрецедентного роста обращений граждан в МФО. Ростовщики не планируют помогать населению и также предлагают займы по максимально высокой ставке, поэтому помощь данной сфере вряд ли должна стоять на первом плане.  Будем держать руку на пульсе, и вы не переключайте канал  trubapodneglinnoy
