|time|user|text
1|06.04.2020 13:20:46|Reincarnation Man|В Москве растёт количество инсультов, вызовов скорой помощи отравившимся алкоголем и людям с передозировкой наркотиками. Московские больницы, которые занимаются реанимацией и неотложной помощью по соответствующим случаям испытывают аншлаг. Привозят целыми семьями. с Банкста
2|06.04.2020 13:20:54|sasha bav|ОФЗ 
3|06.04.2020 13:21:41|Andrey Hohrin|коронавирус оказался еще коварнее, чем мы предполагали
6|06.04.2020 13:23:15|Владимир Тутынин|https//youtu.be/9zySFVipKfE
7|06.04.2020 13:24:39|Kirill Kopelovich|Труд, Рольф, Автобан.
8|06.04.2020 13:24:44|Reincarnation Man|А Калита приятно удивляет пока
9|06.04.2020 13:25:47|Dmitry Manzor|когда будут котиры по ПИСЯТ, тут мат пойдёт
10|06.04.2020 13:28:01|MММ🥕🐹|Дэнни когда по 65 был  мата не было кстати
11|06.04.2020 13:28:18|Andrey Hohrin|Дэни покупали интеллигентные люди
12|06.04.2020 13:28:49|MММ🥕🐹|Каюсь грешен  просто люблю тяжелые наркотики 
13|06.04.2020 13:30:51|Александр (Саша-ААГ)|Все дорого
14|06.04.2020 13:31:12|Dmitry Manzor|
15|06.04.2020 13:35:47|Stock Exchange|Побыстрее бы уже все по сто стало для психологического спокойствия многих тут присутствующих
16|06.04.2020 13:36:58|DIM|До конца года не ждите а то ещё и дефолты пойдут по некоторым
17|06.04.2020 13:37:00|Dmitry Manzor|спокойствие обманчиво
18|06.04.2020 13:38:20|Stock Exchange|Не знаю как многие но я по своим эмитентам спокоен И вам желаю
19|06.04.2020 13:38:57|Kirill Kopelovich|Смотря с чем сравнивать. По Рольфу и Труду на мой взгляд проскакивают интересные уровни.
20|06.04.2020 13:40:56|Quantum Satis|А какие у вас эмитенты чтобы мы тоже были спокойны
21|06.04.2020 13:45:03|Stock Exchange|Ранее публиковал тут сейчас нет возможности у меня почти 30 эмитентов в среднем по 2 на брата разбросано
22|06.04.2020 14:01:13|Сергей Новоточенов|3пщп
23|06.04.2020 14:02:13|Dmitry Tarasov|А шо так ТехноЛизинг залили
24|06.04.2020 14:05:00|Andrey Hohrin|переключились с ЛизингТрейда
26|06.04.2020 14:08:48|Dmitry Tarasov|ВДО вход рубль, выход  два
27|06.04.2020 14:08:57|Aleksandr|https//telegra.ph/BanditskayashodkavOdesse0405 История циклична
28|06.04.2020 14:10:02|Алексей ayaye :)|вход  доллар, выход  тоже доллар 
29|06.04.2020 14:39:08|"PRObonds | LIVE"|отчетность обувьроссии ПАО ОР отчиталась по результатам 2019 года 1 Некоторые цифры 1 Выручка выросла на 18,6 до 13,7 млрд рублей, причем оборот маркетплейса westfalika.ru составил более 1 млрд руб за первый квартал работы, а LFL выручка выросла на 0,8 2 EBITDA выросла на 25,5 до 3,583 млрд рублей, причем рентабельность по EBITDA составила 26,1 3 Чистая прибыль выросла на 26,7 до 1,687 млрд рублей 4 Долг/EBITDA по итогам года составил 3,3х https//www.probonds.ru/posts/356obuvrossiirezultaty2019goda.html
