|time|user|text
1|02.04.2020 15:38:30|Harry Lime|Шокконтент  у Сибгоста появилась выручка 
2|02.04.2020 15:39:34|Yevklid|Илья, позвольте попросить Вас о похожем одолжении, чтобы не захламлять чат
5|02.04.2020 15:46:23|Sergei P|Если не затруднит и мне Заранее благодарю
7|02.04.2020 15:48:47|А что ты сделал для котэ!?|Всем
8|02.04.2020 15:49:30|Sergey Trenin|
9|02.04.2020 15:49:38|Harry Lime|Я просто выложу здесь , ОК
17|02.04.2020 15:57:17|Andrey Hohrin|Челябинскую область закрыли для въезда автомобилей из других регионов Челябинская область стала вторым регионом страны, где решили закрыть границы для иногороднего транспорта. Проехать через область могут только транзитные автомобили и грузовики с продуктами и предметами первой необходимости Подробнее на РБК
18|02.04.2020 15:57:41|Andrey Hohrin|есть в этом плюс. теперь АПРИчники с нашими деньгами точно никуда не сбегут
20|02.04.2020 15:59:35|Александр Нечаев|Так кто же налом возит
22|02.04.2020 16:12:13|In|Нарушают конституционные права граждан и всем пох.
23|02.04.2020 16:12:36|Виталий|Всем пох
24|02.04.2020 16:13:11|Andrey Hohrin|уже не пох
28|02.04.2020 16:14:57|In|Не пропадут, картошку посадят а огороде, но за царя и поправки проголосуют, зомби.
31|02.04.2020 16:17:08|Aleksandr|Просто не сбегут. Деньги то наверно они уже потратили.
33|02.04.2020 16:18:22|Andrey Hohrin|Хорошо б
34|02.04.2020 16:18:54|Aleksandr|Швеция и Япония воздержались от таких ограничений. Посчитали что падение ВВП заберет больше жизней.
35|02.04.2020 16:19:11|Kot Skripalya|Ничего он никому не прояснит. Сам не знает ничего...
38|02.04.2020 16:25:22|Владимир Тутынин|Его походу от коронавируса привили, и в голове у него прозвучало Хаджиме. Сейчас думает, вот движняк начался, чо это я Медведева так долго терпел
39|02.04.2020 16:25:39|In|Царь всегда знает ровно то, что вливают ему в уши придворные бояре.
41|02.04.2020 16:27:10|Kot Skripalya|И, так как за уши царя идет драка, последний остаётся в полном неведении
42|02.04.2020 16:27:57|Владимир Тутынин|https//twitter.com/kremlinrussia/status/1245395100005474305s21
43|02.04.2020 16:28:00|In|Именно так было, есть и будет в автократических обществах.
44|02.04.2020 16:31:11|Владимир Тутынин|Да ладно. Вот за Сталина Левитан выступал. Зачетно было.
46|02.04.2020 16:34:40|Александр Нечаев|На карантине же все
47|02.04.2020 16:35:33|nik|США безработица 6.65 млн
50|02.04.2020 16:42:15|Dmitry Manzor|Кто нибудь ведёт статистику по суициду
51|02.04.2020 16:42:37|MММ🥕🐹|Это немного
52|02.04.2020 16:43:05|nik|А ну отлично... Думал в 10 раз больше стало, успокоили..
54|02.04.2020 16:43:50|MММ🥕🐹|Я серьёзно считаю это позитивом
55|02.04.2020 16:44:12|nik|Ну да в 30е было 18 млн. Будем надеяться что это пик.
57|02.04.2020 16:45:52|MММ🥕🐹|Правильно  надо мыслить стратегически 
58|02.04.2020 16:46:38|Andrey Hohrin|https//www.edisclosure.ru/portal/files.aspxid37349amptype3
59|02.04.2020 16:49:18|MММ🥕🐹|Бонды эмитенты... вот что надо было тарить... Грааль 
60|02.04.2020 16:49:57|nik|А почему так
61|02.04.2020 16:50:05|🦠 Dvaops|Откупаем априфлай
62|02.04.2020 16:50:59|Dmitry Manzor|Не прошло
63|02.04.2020 16:51:35|Alexander Kozhevnikov|да слух прошел что якобы корень имбиря помогает от коронки
64|02.04.2020 16:51:46|Dmitry Manzor| астанавитесь
65|02.04.2020 16:52:31|nik|Класс... Сразу поднять цены.. Типа масок по 500 рублей.
66|02.04.2020 16:53:02|Александр Шумаков|Хорошо, что детский нурофен не помогает
68|02.04.2020 16:55:38|MММ🥕🐹|Царя включили алелуя  живой  позитив
69|02.04.2020 16:56:57|Юрий|Сегодня Транснефтьтерминал торговалась по 78 .Почему
71|02.04.2020 16:57:23|Aleksandr|Незнаю, незнаю у меня его рука на пиксели распадается.
72|02.04.2020 16:58:07|MММ🥕🐹|Щас царь скажет Тарим все лом 
74|02.04.2020 16:58:20|MММ🥕🐹|По 30 апреля халява
76|02.04.2020 16:58:24|Женя|Огонь
77|02.04.2020 16:58:49|nik|А как зарплаты платить Бля
78|02.04.2020 16:58:57|Aleksandr|Пиздец
79|02.04.2020 16:59:05|🦠 Dvaops|Почему я тогда сижу в отпуске без зп Эй Путин
80|02.04.2020 16:59:22|Kot Skripalya|Коллеги, ктонибудь сравнительный анализ ООО ПионерЛизинг делал с другими ЛК Сильное дерьмо
81|02.04.2020 16:59:38|nik|Да какая уже разница
83|02.04.2020 17:00:53|Paul Baikov|Это везде или только МСК
84|02.04.2020 17:01:35|Aleksandr|Он пока президент все страны
85|02.04.2020 17:01:53|Paul Baikov|Оно да, но может с условиями какимито.. Мда, весело
86|02.04.2020 17:02:53|MММ🥕🐹|Да ладно пацаны не переживайте, это только начало, дотянуть все равно придётся до сентября...
87|02.04.2020 17:02:58|Uprek|2
89|02.04.2020 17:03:27|nik|Ну налогов нет новых и окей
90|02.04.2020 17:04:48|Kot Skripalya|А как компании НДС то платить будут....25го....ИЗ ДОМА
91|02.04.2020 17:04:53|Roman Ranniy|
92|02.04.2020 17:05:22|nik|Вопрос... НДС то не перенесли
93|02.04.2020 17:05:26|Сергей|Домашний арест
94|02.04.2020 17:06:22|Viacheslav Petriaev|Позвони в налоговую И напиши через через личный кабинет ещё. Может перенесут
95|02.04.2020 17:06:40|Владимир Тутынин|Ну и что ОБЭП то работает
96|02.04.2020 17:07:14|In|Следующий налог 13 на тело депозита. Дело времени.
97|02.04.2020 17:07:26|nik|Военный сбор
98|02.04.2020 17:08:05|In|Да, типа того будет..
99|02.04.2020 17:08:33|MММ🥕🐹|Кто то сразу полил ОР  хитрецы блин
100|02.04.2020 17:11:32|Sergey Tokarev|http//pochkapochka.com/
102|02.04.2020 17:18:25|MММ🥕🐹|Если не закроют по жёсткому города и регионы это конечно будет бессмысленно все
103|02.04.2020 17:19:23|In|Вся власть в рф бессмысленна, неоколонисты
105|02.04.2020 17:19:56|laslo Fish|Работники официальные. Выдача ЗП через ведомость. Бумага/подпись. Как это было до карточного зарплатного проекта. upd. Что уменьшает требования к размеру суммы на счёте. Но налоги все равно придется платить. Буду считать. Может тоже через пеню.
106|02.04.2020 17:20:50|Владимир Тутынин|А блин как назвать тех 1200 предурков, которые вернулись изза бугра и бегают по Москве
107|02.04.2020 17:21:00|Евген Б|Вы бы разрули лучше
108|02.04.2020 17:21:03|Alec|По информации из головного офиса компании в Токио, удаленная работа до 30 мая с соблюдением местного законодательства
109|02.04.2020 17:22:08|Alexey|Зарплаты Интересное слово....
