|time|user|text
1|12.08.2018 12:36:55|Harry Lime|Но если lbo через бонды на 72 ярда, я даже не знаю , как к этому относиться.
2|12.08.2018 15:53:25|Дмитрий Адамидов|не брать их главное
3|12.08.2018 16:51:24|Oleg Lvov|Не хотелось бы излишне пикейножилетствовать, но там типа не обычное lboв обычном новые владельцы срочно вынимают кэш из купленного тарантасаа у Теслы одни долги. Там расчёт вроде как именно на конверсиюно где маску взять не 72, а даже 10 ярдов, это вопрос. Ну, видимо, банк найдёт 
4|12.08.2018 16:57:55|Harry Lime|Может KKR, они по плечевым выкупам специалисты.
7|12.08.2018 22:12:05|Denis Kozlov Septem|TXU выкупался за счет джанк бондс. История закончилась дефолтом
8|12.08.2018 22:20:48|Oleg Lvov|Борьба старика Эрдогана против масонов довезла турецкую гривну до 7.22. В статье в NYT Эрдоган целый список претензий составил. На уровне 7.3 GS обещал большие проблемы для банков турции. Все 70е годы из валютных и кредитных проблем Турцию вытаскивали, видимо пока по условиям не договорились. Ждём когонибудь из ЮВА на этот концерт, мб Индонезию или Хвилипины. Видимо, веселье в ЕМ и потенциально рубле завтра может продолжиться.
9|12.08.2018 22:29:34|🆃🆁🅴🅸🅳🅴🆁 🅼🅾🆃🅾|тяжелый год для ем. после выборов в сшп все утихнет. большие дядьки хайпят,
13|13.08.2018 05:30:19|Harry Lime|Усатый, давай ставку 100
14|13.08.2018 06:20:49|Harry Lime|Сколько ещё кварталов по 700 млн убытка нужно, чтобы тайное, которое уже и не тайное , сделалось для Теслы явью. Один раз помогли ГолдманыМорганы, наказали шортистов и заработали. Второго чуда уже не будет . Хорошо если байаут действительно что называется on the table , а не только в твитах Маска.
15|13.08.2018 06:47:00|Harry Lime|Хотя нельзя не признать , что спрятать Теслу с глаз долой с биржи  весьма изящное решение. Хватит ли денег у маскомольцев, вот вопрос.
16|13.08.2018 07:33:32|Sergey|Как говорит Oleg Lvov, 1 Трамп  69 рос.рублей Доброе утро.
17|13.08.2018 07:35:27|Alex Petroff|Не знаю где телеканал Россия24 берет котировки, но там уже 69.16
18|13.08.2018 07:35:46|Harry Lime|Шоу ужасов продолжается...
19|13.08.2018 07:37:07|Шура SiberianRanger|на инвестинге 69,02
20|13.08.2018 07:37:10|Sergey|70 всётаки красивая цифра. Круглая..
21|13.08.2018 07:37:11|Шура SiberianRanger|https//ru.investing.com/currencies/usdrubcid962711
22|13.08.2018 07:42:06|Harry Lime|Цены на Георгиев обычно запаздывают. Можно воспользоваться очередной раз.
23|13.08.2018 07:44:12|Harry Lime|EURUSD
24|13.08.2018 07:45:33|Harry Lime|А вот это действительно печально, дорога на 1,11 свободна
25|13.08.2018 07:49:02|Oleg Lvov|аааа трамп сегодня жжёт даёшь трамп по 70 и нефть по 70 
26|13.08.2018 08:05:58|Harry Lime|Блумберг пишет , что на Теслу даст денег суверенный фонд Саудовской Аравии. В принципе они могут и купить на сдачу с бана Ирана.
27|13.08.2018 08:07:42|Harry Lime|Кипрская Sberbank Investments Limited структура Сбербанка стала владельцем 10 акций Михайловского ГОКа Металлоинвеста . Продажа акций была осуществлена по рыночной стоимости, говорят представители Металлоинвеста и Сбербанка . Детали сделки они не раскрывают. Металлоинвест на 100 принадлежит USM Алишера Усманова . Компания Усманова контролирует Михайловский ГОК через Лебединский ГОК . Доля последнего после сделки со Сбербанком снизилась до 89,32. Михайловский ГОК  второй по величине после Лебединского ГОКа входит в группу Металлоинвеста комплекс по добыче и обогащению железной руды в России, обеспечивает около 18 производства железорудного концентрата и аглоруды в стране.
28|13.08.2018 08:07:59|Harry Lime|Уже отмаржинколили...
30|13.08.2018 08:14:08|Дмитрий Адамидов|Спасли рядового Маска. хотя он теперь генерал
31|13.08.2018 08:16:40|Harry Lime|Это слухи пока, может ещё выяснится , что Элон наш , советский , подполковник Масков.
32|13.08.2018 08:17:01|Дмитрий Адамидов|
33|13.08.2018 09:24:26|А что ты сделал для котэ!?|Почему то в приложении этой функции не вижу
34|13.08.2018 09:25:17|Шура SiberianRanger|Не пользовался их приложением, не могу подсказать
35|13.08.2018 09:25:45|Harry Lime|USDRUB превышал 69 в азиатскую сессию. В моменте 68.70
36|13.08.2018 09:49:50|А что ты сделал для котэ!?|Был щас в Юникредите С 18 июля для новых клиентов на 1 год  2.45 в долларах, для существующих  2.25
37|13.08.2018 10:09:02|Harry Lime|По рублю вроде все по Станиславскому, неожиданностью явился лишь тест 69 на премаркете. Тест 68 такой нормальный получился.
38|13.08.2018 10:14:12|Harry Lime|РЫНКИ РФ  МНЕНИЕ  RUB Morgan и UBS предостерегают инвесторов от вложений в российские активы после самого резкого падения рубля по итогам недели со времени обвала нефти в 2015 году на фоне растущего риска новых санкций США. Morgan Stanley занял медвежьи позиции по рублю UBS Group AG закрыла рекомендацию покупать рубль
39|13.08.2018 10:14:25|Harry Lime|Морган вообще красава
41|13.08.2018 10:19:44|Harry Lime|Dont. Look. At. Turkish. Bonds.
42|13.08.2018 10:20:00|Harry Lime|... а теперь не смотри
43|13.08.2018 10:24:17|Nikolay Pavlov|А что с ними
45|13.08.2018 10:24:47|Harry Lime|Ну ставку не поднимают и на том спасибо  для бондов
46|13.08.2018 10:26:46|Oleg Lvov|Если вспоминать классику типа Индо и Арг в 9801м, то следующий акт балета  сборища на улицах, типа митинги. Под аккомпанемент переговоров с МВФ. Но МВФ зятю Эрдогана ни копейки не даст. Поэтому можно сидеть и ждать, рынок большой...
47|13.08.2018 10:28:19|Harry Lime|В Аргентине я сам был через пару лет после , а с Индией что было
50|13.08.2018 10:44:31|Oleg Lvov|ИндоИндонезия. Кризис и демонстрации свалили Сухарто. Но правда, Индо по сравнению с Турцией это совсем ниже уровень всего. Забыл инновациюукраинский вариант, Турция может ввести capital controls как и Малайзия в 9899м. Теперь даже МВФ не против их введения на какоето время, хотя тогда они вовсю лепили горбатого.
