|time|user|text
1|31.05.2019 18:29:51|MrSmith|...и оставшиеся 87 в прибыль. Что тоже неплохо
2|31.05.2019 18:29:53|Астория|Ну вот Слив сейчас Бэлти с купленным нулевым НКД что с налогом то произойдёт
3|31.05.2019 18:31:18|Aleksandr|с каждой проданной облиги возьмут налог с нкд в сумме 4,33 руб
4|31.05.2019 18:31:38|Максим Кочнев|Ой да ладно, я потерял 13 от купона и то не сейчас а в конце года но заработал 1 от тела зайдя в ом и продав по 100.98. Жду такси. Но рост цены там только в июле
5|31.05.2019 18:32:15|Aleksandr|советские люди в булошную на такси не ездят
6|31.05.2019 18:33:23|Максим Кочнев|Вобщем это был осознанный слив
7|31.05.2019 18:33:49|Aleksandr|Ломастер тоже ты 
8|31.05.2019 18:33:53|Максим Кочнев|Потеря 0.4 чепез полгода взамен прибавка 1 уже сейчас
9|31.05.2019 18:34:23|Aleksandr|а комиссия брокера 
10|31.05.2019 18:34:55|Астория|Точно. Или 13 с купона
11|31.05.2019 18:35:05|Максим Кочнев|Ломастер я ещё в среду слил сколько было нужно
12|31.05.2019 18:35:24|Sergey Tokarev|надеюсь не 27amp
13|31.05.2019 18:35:41|Максим Кочнев|Там стена у 24 по 99.3
14|31.05.2019 18:36:01|Sergey Tokarev|а вообще если без шуток льют его беспощадно. сегодня усилилось
15|31.05.2019 18:36:38|Aleksandr|вот кто Софтлайн ушатал в прошлый раз
16|31.05.2019 18:36:39|Sergey Tokarev|вчера еще эта же стена было по 100
17|31.05.2019 18:36:42|Астория|За 3 месяца
18|31.05.2019 18:37:16|Максим Кочнев|Что за 3 месяца
19|31.05.2019 18:37:38|Астория|Бэлти 3 месяца прошло с начала размещения
20|31.05.2019 18:37:46|Максим Кочнев|Ну да
22|31.05.2019 18:38:53|Шура SiberianRanger|Плитка 50 штук на покупку по 99 ушла
23|31.05.2019 18:42:14|Астория|Если часто прыгать из облиги в облигу по мере их новых размещений, беря их с нулевым или малым НКД, 13 с купона будут накапливаться весь год. Это особенно сказывается на облигах с квартальным или полугодовым купоном.
24|31.05.2019 18:43:49|Максим Кочнев|Я в курсе. Я же вам пишу. Оттого что я продал у меня в конце года заберут 0.4. Но оттого что я продал я уже если считать комиссию заработал 0.9. Те по итогу уже 0.5 в прибыли
25|31.05.2019 18:45:39|Астория|Хорошо, что вы отдаете в этом себе отчёт. Но новички могут недопонимать подводного камня с этим налогом с купона
26|31.05.2019 18:47:17|Максим Кочнев|Это да, тут я целенаправленно шёл в ом на 10,чтобы половину продать по 101. Так что осознанно сливал
27|31.05.2019 18:47:17|Елена Филякина|В понедельник 27 днём наливали по 100.
28|31.05.2019 18:51:11|К& Б:))🍷|Случайно ухватил CBOM24 по 99... Поставил тестовую заявку сильно ниже рынка и забыл.. А тут взяли и пролили... Интересно, до какого порога будут лить Или это плавный переход к санации
34|31.05.2019 19:02:11|Dima Seleznev|А зачем это все в Ленинграде
35|31.05.2019 19:02:14|Alex|санация это идеально, если уйдет в ФКБС, это сразу по 110 цена
36|31.05.2019 19:03:00|Alex Petroff|Так случилось. Совпадение
37|31.05.2019 19:03:16|Oleg Egorov|Завтра там День Петербургского инвестора, соответственно много известных лиц прибыло
38|31.05.2019 19:07:22|Dima Seleznev|Тогда ладно. Нам в МО обидно.
39|31.05.2019 19:07:59|Kir|К вам сам Гарри приезжал, грех жаловаться 
40|31.05.2019 19:08:49|Alex Petroff|В мск встречи тоже проводятся на регулярной основе
41|31.05.2019 19:09:11|Dima Seleznev|Придём
43|31.05.2019 19:12:57|Boris|Этот налог с купона на иис либо вернёшь либо не заплатишь. А вот перешагнув через выплату, 35 с ключевая 5 уже точно отдашь государству. Тут же на днях обсуждали стратегию газтормоз
44|31.05.2019 19:16:29|Sergey Tokarev|вот бы знать. хотел докупить сегодня но что то тормознуло. будем посмотреть. резкого негатива пока не видно. да и думаю если бы был он то лили бы сильнее.
53|31.05.2019 19:39:10|А что ты сделал для котэ!?|Главное  не начать бить морды адвокатам у них тоже сегодня праздник
54|31.05.2019 19:39:11|Dmitry Manzor|Эх, хотелось бы тоже послушать умных людей да далеко живу. 
59|31.05.2019 20:03:24|S.P.|https//www.interfax.ru/business/663269 Доходности по депозитам похоже снизятся ещё больше. Ну а евробонды продолжат радовать народ.
60|31.05.2019 20:04:31|Елена Филякина|Ого, круто.
61|31.05.2019 20:05:11|Alex Petroff|Такая серьезная встреча впервые. Если честно, я не ожидал...
62|31.05.2019 20:08:36|Елена Филякина|Бросила свою работу и тоже еду, раз так все серьезно
63|31.05.2019 20:21:58|Anastasiya Gavrilova|Круто как Хотела бы написать, что бросила все, купила билет на сапсан и еду к вам, но пока нет
69|31.05.2019 20:26:15|Aleksandr|это манипулирование рынком
70|31.05.2019 20:26:47|Максим Кочнев|надо стакан у бeргеров посмотреть, там наверное цена вверх скакнула
72|31.05.2019 20:30:29|Alex|МСФО СВОМ за 1к19 появился
74|31.05.2019 20:33:32|Alex Petroff|И стаутом
75|31.05.2019 20:34:42|Маржинколл Байбекович|На постмаркете наливают
76|31.05.2019 20:39:51|Serg|Уважуха Вам реально Не ожидал. Спасибо Мне кажется пора сделать паузу и пообщаться без камеры. Завтра расскажите 
