|time|user|text
1|05.06.2019 12:24:02|Moar|это сапорт в БКС 
2|05.06.2019 12:24:30|Елена Филякина|Сегодня тоже деньги висели 2 часа, смс пришло о пополнении, а денег не было.
3|05.06.2019 12:25:41|S.P.|Мда... Вот смотрю я на это и понимаю что идеального брокера нет  У всех свои траблы. Иметь счета в 4 брокерах и быть не довольным ни одним из них конечно ужасно 
4|05.06.2019 12:26:52|Olbrnew|Так и есть. И это хорошо
5|05.06.2019 12:26:56|Moar|Я не очень понимаю ответ  не торгуется. Я исин вбиваю мне выдают два инструмента
8|05.06.2019 12:28:40|Olbrnew|Что за инструмент хоть 
9|05.06.2019 12:28:56|Moar|24й CBOM в евро XS1951067039
10|05.06.2019 12:29:25|Артем|Добрый день Всем спасибо за участие, держите обещанные данные по итогам размещения облигаций дебютного выпуска ООО Трансмиссия сервис ТаксовичкоФ. В целом, хотелось бы отметить большое количество участников в данном размещении и неплохую дисциплину большинство частных инвесторов регистрировались заранее через сервис primary либо же подключились согласованно в процессе размещения. Были и заявки из ниоткуда. В данном случае, все они были также удовлетворены сумма выпуска позволяла. Вероятно, что в двух последующих размещениях, такой роскоши уже не будет суммы по ГрузовичкоФ и KISTOCHKI значительно меньше, а интерес со стороны инвесторов есть. Поэтому, рекомендуем следить за новостями и участвовать в первичных размещениях дружно и с уважением к другим участникам.
11|05.06.2019 12:30:44|Dmitry Manzor|Спасибо Вам Ждём Груз и Кист
12|05.06.2019 12:30:59|Alex Petroff|Артем, на какой объем было удовлетворено заявок по Трансмиссии от физиков
14|05.06.2019 12:34:17|S.P.|Кстати снижение ставки ФРС США как может отразиться на бонды номинированные в евро Будет ли переток части денег в евро
15|05.06.2019 12:36:29|Boris|Мне кажется первый быстрей и проще. Только сразу доверенный тел привязать чтобы все значимые действия смс подтверждать. А то придётся и реестры ездить подписывать
16|05.06.2019 12:38:04|Moar|третий заход. он мне выдал список облигаций на спб. я ему сфоткал стакан в квике.
17|05.06.2019 12:40:29|S.P.|Тинькофф ответил Спасибо вам за предложение Я передал его коллегам, что бы рассмотрели возможность добавления к нам на сервис. Сколько ждать при этом не понятно 
18|05.06.2019 12:41:05|Moar|тут в чате есть представитель тинькова кстати
19|05.06.2019 12:41:32|S.P.|Да он чисто читает только. Ни на один вопрос за всё время не ответил
