|time|user|text
1|19.12.2019 21:43:04|VDS005|Кто сказал что они будут брать
2|19.12.2019 21:43:44|Dmitry Manzor|будут развиваться на свои или на кредитные линии банков которые не называются
3|19.12.2019 21:45:48|VDS005|А почему нет Я смотрел аудированные отчеты, рейтинги, мсфо и т.п. так и не понял зачем им деньги. 1 млрд.
4|19.12.2019 21:46:47|Kira Zabrodskaya|Корпоративная репутация это нематериальный, но очень важный актив компании, успешные цивилизованные компании над ней работают и эта работа приносит им вполне материальную прибыль. А ктото терпит убытки именно потому, что не понимает важность лояльности к ним клиентов. Им ещё нужно учиться ...
5|19.12.2019 21:46:58|А что ты сделал для котэ!?|Полностью поддерживаю
6|19.12.2019 21:48:12|VDS005|Все в порядке у них с репутацией. И ещё раз спрошу что они нарушили и кого они обманули чтобы испортить репутацию С БКС стали работать чтоли Это причина
7|19.12.2019 21:51:36|К& Б:))🍷|И не факт, что брать ещё будут. И не факт, что както урегулировав ситуацию, потом Дэни будет плохо. Во втором варианте, кто взял дёшево и хорошо заработал, будут трубить о своем успехе. А кто проиграл, будет стыдливо помалкивать...
8|19.12.2019 21:52:58|Kira Zabrodskaya|Вторую неделю инвесторы почти не о чем другом не говорят. Наплевательское отношение к ним, особенно по сравнению с тем, кто ещё находится на этом маленьком и не очень развитом рынке говорит само за себя. Репутация это то, что о тебе думаю партнёры. Все, что о них думают можно увидеть, посмотрев чат. Больше здесь говорить не о чем.
9|19.12.2019 21:52:58|Georgy Melnikov|если Дэнни будут вовремя выплачивать купоны и тело, то вполне себе еще возьмут. Истерички не будут в них заходить, это да.
10|19.12.2019 21:52:59|VDS005|Я так и не понял каким боком тут БКС
12|19.12.2019 21:53:54|К& Б:))🍷|Я что то писал про БКС Или отвечал на реплику про БКС
13|19.12.2019 21:55:15|VDS005|Прошу прощения. Тут про БКС чтото много говорят. Видимо устал я.
14|19.12.2019 21:55:16|Nikolay Pavlov|Вот сегодня чат оправдывает название 
15|19.12.2019 21:56:46|Kirill Kopelovich|Судя по выступлению на конгрессе Сбондс, Дэни не наплевать на репутацию.
16|19.12.2019 21:57:55|VDS005|Вы серьезно думаете что партнёр Дэни, например Ростелеком , будет судить о Дэни по вашим нелепым постам В одном, вы правы. Вам ещё нужно стать инвестором, а не называть себя таковым.
17|19.12.2019 21:58:37|Дмитрий Адамидов|Ну все плотину прорвало
20|19.12.2019 21:59:39|VDS005|Дмитрий, я закончил. Простите за эмоции.
21|19.12.2019 22:00:04|Дмитрий Адамидов|Показывает что ри эмитенты ни организаторы ни инвесторы не готовы к сложным ситуациям
