|time|user|text
1|25.10.2019 12:02:43|Marina Kabanets|Привет Нас трое уже
2|25.10.2019 12:04:19|Alex Petroff|Отлично Осталось 21.11 найти уютный уголок и выйти на связь с сообществом. Челябинск_с_нами 
3|25.10.2019 12:05:43|Marina Kabanets|Получается нам нет смысла в Екб собираться, лучше они к нам 
5|25.10.2019 12:07:26|Alex Petroff|Да. Общий сбор 21 ноября в четверг. Мероприятие в Москве начинается в 18 час. В Питере в 18.30.
6|25.10.2019 12:07:28|Александр|Пятой уже будете 
7|25.10.2019 12:09:06|Marina Kabanets|Нам может отдельный кружок сформировать
8|25.10.2019 12:18:00|Александр|В связи с тем, что в Челябинске на текущий момент набралось уже пять участников, то Уральская встреча переносится в Челябинск. Просьба заинтересованных сообщить о желании присоединиться к коллективу.
9|25.10.2019 12:25:18|Шура SiberianRanger|через 66 минут
10|25.10.2019 12:25:29|Котофей|нет, но ждем с нетерпением
11|25.10.2019 12:32:58|Alexander|не верю что в Челябинске больше инвесторов ВДО чем в Екатеринбурге
12|25.10.2019 12:33:17|Александр|В Екатеринбурге видимо пассивные все
13|25.10.2019 12:34:41|Kir|Пассивные инвесторы вдо 
14|25.10.2019 12:35:24|Alex Petroff|Коллеги Сообщения, касающиеся организационных вопросов участия в мероприятии 21.11 удаляться не будут. Но это не повод обвинять наших коллег в пассивности и других способах инвестирования
15|25.10.2019 12:42:55|Reincarnation Man|В Тиньке доходность по Талану исправили, покупателей прибавится, домохозяйки подключатся
16|25.10.2019 12:44:51|Evgeny P|Роделен както активно раздают, чуть подбираю около 100, даже странно на фоне ажиотажа
17|25.10.2019 12:45:22|Maison|Обвинение в других способах инвестирования  звучит сильно
18|25.10.2019 12:47:01|Aleksandr|Первый выпуск
19|25.10.2019 12:59:01|Marina Kabanets|Талан уже пора брать Или ещё сольют цену
20|25.10.2019 13:01:28|Lizardking0808|Всё берите, завтра будет поздно
21|25.10.2019 13:01:48|Шура SiberianRanger|Завтра действительно будет поздно в субботу биржа не работает
22|25.10.2019 13:01:55|Антон|Она только подросла а Вы сбивать
23|25.10.2019 13:02:38|Lizardking0808|Чем больше спрос тем выше цена
24|25.10.2019 13:02:56|Marina Kabanets|Шеф, все пропало Гипс снимают, клиент уезжает 
25|25.10.2019 13:03:51|Harry Lime|Мне кажется на сайте энгри можно прикрутить рандомного советника по покупке облигаций и слать туда с такими запросами , как на дискложу
26|25.10.2019 13:04:30|Антон|Вы про талан
27|25.10.2019 13:04:50|Harry Lime|Да пофигу что талон , что роделен
28|25.10.2019 13:06:23|Maison|Увы, начнут по новому закону о фин советниках привлекать, а так шикарная идея
29|25.10.2019 13:06:29|Шура SiberianRanger|тем кто спрашивает слишком часто, давать специальную ссылку, которая советует РедСофт и что там ещё у нас модно в новом сезоне
30|25.10.2019 13:06:59|Maison|Можно левый сайт не аффелированнвй с профучастниками и все
31|25.10.2019 13:07:14|Harry Lime|После третьего запроса про РедСофт  отвечать только strong buy
32|25.10.2019 13:08:56|Marina Kabanets|Гарри, а вам никогда не хотелось мухобойкой бить тех, кто задаёт этот прекрасный вопрос
34|25.10.2019 13:09:32|Harry Lime|Зачем , обучение все равно будет оплачено
35|25.10.2019 13:09:54|Marina Kabanets|Хотите я вам его по утрам буду писать чтоб взбодрить
36|25.10.2019 13:10:52|Harry Lime|Фишка в том , что я почти всегда знаю , что я буду брать , но этого как правило еще нет на бирже
37|25.10.2019 13:11:00|Marina Kabanets|А, что, картина какие облиги брать Из Кустов Гарри шлеп, мухобойкой по пальцам, чтоб голупости на клаве не тыкали
38|25.10.2019 13:11:19|НФК Сбережения|Анонс 3го выпуска, основные тренды и новые инвестиционные возможности 24 октября Московская биржа зарегистрировала 3й выпуск биржевых облигаций ООО ПионерЛизинг. Размещение нового выпуска планируется начать в ноябре. Исходя из опубликованных условий ссылка 3й выпуск будет напоминать 2й ПионЛизБП2, но купон будет ниже, а объем эмиссии больше. Как и прежде, купонная ставка на весь срок обращения облигаций будет определяться по формуле, однако если во 2м выпуске купон соответствует ключевой ставке, увеличенной на 6,25 годовых, то в 3м  купонная ставка будет определяться как ключевая ставка, увеличенная на 6. Очевидно, что в условиях тренда по снижению ключевой ставки, такое решение является оправданным. Учитывая недавние заявления представителей Банка России, рынок ожидает, что до конца года ключевая ставка опустится до 6. В таких условиях ставка 3го выпуска будет соответствовать двойной ключевой ставке, в этом смысле предлагаемая эмитентом премия за риск является весьма привлекательной на длительную перспективу Более того, тренды, создаваемые мегарегулятором, создают предпосылки и для дальнейшего роста цены облигаций после завершения их размещения. Примечательно, что новая информация еще не учтена участниками рынка, в частности облигации второго выпуска торгуются вблизи номинала, что создает интересные инвестиционные возможности на бирже все еще можно приобрести бумаги второго выпуска с более высокой купонной доходностью, чем по новому выпуску. Условия выпуска на сайте раскрытия
39|25.10.2019 13:12:14|Marina Kabanets|Обычно опыт сын ошибок трудных А хочется же все и сразу
40|25.10.2019 13:13:50|Harry Lime|Миссия 3го выпуска Пионера похоже приподнять 2й выпуск Пионера.
41|25.10.2019 13:19:36|Evgeny P|Да в целом оба роделена дешевы
42|25.10.2019 13:22:13|Alex S|в офз сидять такие деньги, одного купона с которых даже под 7 любому из нас хватит на парутройку лет жизни это можно считать одной из причин что это и не тема этого чата  мечтаем в другом месте
43|25.10.2019 13:22:45|Evgeny P|Первый льют наверное потому что аморт
44|25.10.2019 13:31:05|Максим Кочнев|НОЛОГИ
45|25.10.2019 13:31:30|Шура SiberianRanger|ПЛОТИ НОЛОГЕ
46|25.10.2019 13:31:59|Sergey eSKon|последний день однако 
47|25.10.2019 13:32:33|Vl Lav|Теперь платить налогов не мало. Гады
48|25.10.2019 13:34:51|Евгений Коломна|Обесценивается наш риск
49|25.10.2019 13:36:17|Maison|Реакция такая как будь то не ждали
51|25.10.2019 13:38:03|К& Б:))🍷|Теперь и Талан сметут. Интересно, успеют за сегодня или нет тысяч 7 взять Тем более доха в тиньке красиво смотрится... 
52|25.10.2019 13:38:55|Maison|Рынок давно уже учел эту ставку
54|25.10.2019 13:40:26|Alex S|нуу там еще онлайнмикрофинанс есть или как он там щас обзывается
55|25.10.2019 13:40:27|К& Б:))🍷|Вот так рынок учел... Биг боссы на 90, народ  на 47... А у нас в основном биг боссов нет...
56|25.10.2019 13:43:27|Maison|Но рынок 50 пунктов зпкладывал, что видно по размещениям крупных корпоратов, которые обычно дают к ставке пол  или полтора... Сейчас размещаются под 78
58|25.10.2019 13:44:48|!|У финама из стакана дешевле взять, чем на первичке. Например, тот же Шевченко сейчас торгуется по 100.05/100.08 в стакане, а на первичке он будет с учётом комиссии за первак стоить 100.256 А в случае с обувью я со стакана взял вообще ниже номинала.
59|25.10.2019 14:05:09|К& Б:))🍷|В декабре ещё 0.5 к ставке ожидается... ОФЗ и корпораты ещё ниже пойдут.. Во второй половине декабря закончатся вклады памяти 2014, народ премии к НГ получит. Купоны с облиг и очередные дивы подойдут... Думаю, соберут всё. И Талан, и АйДиЭф, и Шевченко, и пионерл2 и 3, и роделен... И даже Редсофт
