|time|user|text
1|03.02.2020 20:37:18|Замполит Aleks Kib|Может сгодится кому
2|03.02.2020 20:48:28|Ilya|patsak9876 Дмитрий, с Днём рождения  Новых идей, сговорчивых эмитентов, побольше подписчиков 
3|03.02.2020 20:53:39|Дмитрий Адамидов|Спасибо, друзья
4|03.02.2020 21:23:47|Anastasiya Gavrilova|С ДНЕМ РОЖДЕНИЯ 
5|03.02.2020 21:30:55|Shamtu|Калсбыт совсем засбоил
6|03.02.2020 21:35:56|Aleksandr|Хорошо что ему обратно не начали закачивать его облиги 
7|03.02.2020 21:38:05|Soa|Да ладно..второй год потихонечку размещается и не подводит
8|03.02.2020 21:38:50|Shamtu|Просто скрипт не выложили
9|03.02.2020 21:39:01|Soa|Кто то сегодня немного сливал вот и не смогли разместить возможно
12|03.02.2020 21:40:43|Марианна Каменецкая|Здравствуйте, правильно я понимаю, что надежнее менять более старые выпуски вдо на те же вдо, но новые размещения
13|03.02.2020 21:44:00|Soa|тех же эмитентов
14|03.02.2020 21:44:22|Марианна Каменецкая|Да
15|03.02.2020 21:44:52|Soa|Что значит надежнее тогда
16|03.02.2020 21:45:40|Adviser|Лидеры сегодняшнего дня
17|03.02.2020 21:46:50|Марианна Каменецкая|Если будет банкротство эмитента, то все выпуски полетят разом в цене Или сначала более ранние
18|03.02.2020 21:47:44|Soa|Марианна, прекратите
19|03.02.2020 21:52:53|К& Б:))🍷|Все.
20|03.02.2020 21:53:11|Oleg Egorov|Я вот наоборот считаю  новые выпуски нередко привлекаются, чтобы легче было обслуживать старые, поэтому у старых в этом случае риск дефолта на погашении меньше, чем у последующих
21|03.02.2020 21:53:37|Марианна Каменецкая|Спасибо.
22|03.02.2020 21:53:45|Kregg|Ранние дешевеют, потому что скоро погашение и если они дали плюс по телу  почему бы не зафиксировать и переложиться в следующий по номиналу на размещении
23|03.02.2020 21:56:31|Harry Lime|Успешный трейдер мусорными облигациями уволен за кражу еды http//amp.gs/uvue
24|03.02.2020 21:56:49|Harry Lime|Джанки , такие джанки
25|03.02.2020 21:57:14|К& Б:))🍷|Если получишь профит, почему не переложиться Но при дефолте на дно часто летят даже выпуски родственных компаний. Хотя случаи разные бывают. Но они уже от очередности выпуска впрямую не зависят
26|03.02.2020 21:58:17|Harry Lime|Между банкротством , дефолтом и обвалом цен зачастую месяцы и годы страданий
