|time|user|text
1|30.11.2019 00:13:50|Замполит Aleks Kib|Он улетел, но обещал вернуться
2|30.11.2019 00:22:10|Olga|Не пытайтесь меня на чем то поймать, это дохлый номер. Тут высказывают мнение, не более того. Если у кого есть инсайд, тот не тут и молчит. Точка
4|30.11.2019 00:27:29|Максим Кочнев|Что за Вера такая и почему она всем задает вопросы
5|30.11.2019 00:28:16|Olga|Зачтено, Максим. Вера оценила
6|30.11.2019 00:29:01|А что ты сделал для котэ!?|Гарри, вы считаете, что ДЭНИ ведёт рискованный бизнес Или вы считаете, что это фрод
7|30.11.2019 00:29:19|Максим Кочнев|
8|30.11.2019 00:29:28|А что ты сделал для котэ!?|Теле 2 ее очень не любит, кстати
9|30.11.2019 00:30:15|Olga|А кого любит теле2
10|30.11.2019 00:30:35|Максим Кочнев|не любит но работает
11|30.11.2019 00:31:12|К& Б:))🍷|Я про Веру и веру в смысле, что фактов нет или они не имеют однозначной интерпретации. Поэтому вся текущая болтовня  это флуд и переливание из пустого в порожнее. Уже который день... Пусть каждый решит для себя какой он веры и успокоится... Достаточно купона дождаться...
12|30.11.2019 00:37:11|Olga|Конечно. Флуд уже неделю, но стакан то он греет купон будет, можем зарубиться
13|30.11.2019 00:42:52|К& Б:))🍷|Я таки совсем не против, что купон будет... Не интересно это... Интереснее вопрос, кто покупает в таких объемах На фоне толпы размещений и несерьезной скидки в 3 от номинала
14|30.11.2019 00:43:53|Olga|Будем честны хотя бы сами с собой  никто этого не узнает
15|30.11.2019 00:45:41|К& Б:))🍷|Никогда не говори никогда  Есть некоторые методики и бывают обстоятельства... Но почесать языки про это на мой взгляд гораздо интереснее 
16|30.11.2019 00:51:44|Sergey Sidorov|Он ушел. Не парьтесь 
17|30.11.2019 00:52:55|А что ты сделал для котэ!?|Лично я думаю что ушел кому надо 
18|30.11.2019 00:58:59|Sergey Sidorov|Ага Ушел литерным Киров Котлас тьфу, BVI
19|30.11.2019 01:39:14|Ilya|Пропустил 500 сообщений, зашёл почитать, опять Дени
20|30.11.2019 02:02:52|sasha bav|На встрече представители Дэни расскзывали что сначало организатор был Бондибокс и более 500мл. размещать не брался. Потом подкдючилось БКС и разместили, как и планировали, 1 лярд.
21|30.11.2019 03:01:49|Yuri|Народ, а вы интересуетесь американскими вдо Например u.s. Steel имеют доходность 8 в . У некоторых есть лоты в 1000. Я задумался о покупке.
22|30.11.2019 05:55:30|Harry Lime|Я вообще не вижу фактов ведения бизнеса в заявленных об,емах , но у меня плохое зрение , могу ошибаться.
24|30.11.2019 06:17:54|Kir|У дени должен быть приличный ит бекграунд иначе как они делают смс рассылки и связь и все остальное. на hh 20 вакансий с нормальным уровнем за, все от ноября. Сгонял бы кто на экскурсию в офис в Краснодаре, было бы интересно.
25|30.11.2019 06:52:43|Lizardking0808|Вчера снова позвонил финконсультант Андрей из Бкс. Ни за что не угадаете, что предлагал....
29|30.11.2019 07:04:06|Harry Lime|С Дени вижу две ветви развития событий  заливщик заливает дальше , у него ведь ребалансировка портфеля по дюрации , а он щедр , в результате цена падает  в январе 21 года все приносят на оферту. В случае если продажи прекращаются или останавливаются на уровне 9597 , цена не отрастает  предложение 1415 есть всегда. Значит на оферту принесут только самые яростные, но точно принесут может треть. Вывод  оферта может быть несправедлива .
30|30.11.2019 07:07:28|Lizardking0808|Интересное предположение. Однако оферта через 14 месяцев, к этому времени много что может произойти. Вчера у заливуна выходной был, кто знает, может, у него уже папиры кончились
