|time|user|text
1|26.02.2020 15:41:00|Andrey Khrulev|уже же была классификация ВДО
2|26.02.2020 15:44:01|Adviser|Имхо пропорции лучше, чем фикса... Сейчас 5 это почти ставка, а в 2014 при ставке 18 это треть и 23 были много у кого
3|26.02.2020 15:51:11|Harry Lime|Микоян по 22 помню купон , 23 не помню , дохи да , были 30
4|26.02.2020 15:55:40|Adviser|Имён не вспомню  У нас в те времена ВТБ привлекал депозит под 22, хотя кредит был у него же под 18...
5|26.02.2020 15:57:30|Harry Lime|Вторая версия инновационного роботизированного терминала  Custody bot для куплипродажи и хранения золота , разрабатываемого компанией Goldmint Дмитрия Плущевского, члена Совета директоров АО МГКЛ Мосгорломбард, была продемонстрирована 1920 февраля на Международном форуме iFin2020 Москва, и вызвал интерес банковского сообщества  Дмитрий Плущевский выступил  в рамках форума 20 февраля с докладом Роботизация оборота золота. Mosgorlombard_investment https//youtu.be/S05_pBjpPgc
6|26.02.2020 15:57:45|Harry Lime|Вот Робот Федор из моего эссе
8|26.02.2020 16:04:33|MММ🥕🐹|Совок набирал депозиты под 25 
10|26.02.2020 16:05:25|Harry Lime|Если вычесть инфляцию , сейчас не намного хуже условия , все относительно
11|26.02.2020 16:20:00|Евгений Мосгорломбард|Доброго дня. Пока такие цифры, более точно можно будет сказать после выхода малой промсерии
12|26.02.2020 16:20:04|Soa|Рушится миф о вдо...фактически просели только они
15|26.02.2020 16:23:23|Александр|0.1 по портфелю вдо, вы серьезно
16|26.02.2020 16:23:40|Ivan Z|Да там просадка минимальная  под новые размещения люди выходят, все нормально
17|26.02.2020 16:25:11|Soa|По проценту просадка...это архи много
19|26.02.2020 16:26:00|Александр|Продавайте  я подберу
20|26.02.2020 16:27:42|Soa|инструменты, обувь обе, виталайн и т.д
22|26.02.2020 16:28:03|Harry Lime|Включение мозга  это очень полезно , уход в качество в текущей ситуации  это нормально , инвестор в ВДО может сейчас найти альфу только найдя качество своим умом.
24|26.02.2020 16:29:01|Soa|Согласен, но помню разговоры про непросядаемость вдо
25|26.02.2020 16:29:32|Harry Lime|От номинала да , но не от 104106 же
26|26.02.2020 16:29:38|Dmitry Manzor| около того. ну я думаю ещё не вечер. Иволга ударит в марте на 600млн рынок колыхнёт
27|26.02.2020 16:29:49|Soa|именно...остальное продать просто не реально с малыми потерями
28|26.02.2020 16:30:13|Harry Lime|Сначала все вытопчут девелоперы , ковровая бомбардировка
29|26.02.2020 16:30:36|Soa|На Азбуку хромую посмотрите.. Система 9 тоже далека от номинала
30|26.02.2020 16:31:06|Aleksandr Mukhin|был разговор про тот раз, и не факт, что так будет всегда. да и сейчас ниже 100 никто не рухнул, ну кроме известных исключений
31|26.02.2020 16:31:08|Soa|Азбука даже типа подросла
32|26.02.2020 16:31:39|Harry Lime|Логично , бегство в качество во всей красе.
33|26.02.2020 16:31:59|Soa|Вот только ни чего и не произошло. Ну в общем все все поняли, а выводы каждый сам..
35|26.02.2020 16:32:33|Harry Lime|В какомнибудь ОКее может неожиданно стать жарко
36|26.02.2020 16:34:05|Ivan Z|Ну как же, а падение рынков, акции сильнее упали колебания в бондах вообще ерунда. Страхи рецессии мировой, ещё и размещения в марте кучно пошли. Тут вроде бы вполне логично все Как и если история с вирусом выдохнется, любое дерьмо будут в апреле расхватывать
37|26.02.2020 16:34:29|Adviser|Когда чтото произойдет уже поздно будет 
38|26.02.2020 16:35:15|Soa|Что произойдёт или может Есть возможный сценарий на избытке ликвидности
43|26.02.2020 16:38:36|А что ты сделал для котэ!?|Где по проценту то Полпроцента Субфеды типа КЧР и саратова примерно так же
44|26.02.2020 16:41:50|Soa|оаэ к перечисленному
45|26.02.2020 16:43:49|Adviser|Отсутствие качественных активов
46|26.02.2020 16:43:52|Замполит Aleks Kib|Из двух Портфелей ВДО  по одному просадка  0,32, по второму  0,05
48|26.02.2020 16:45:24|Soa|А Рубеж так вообще чуть ли не вырос..
51|26.02.2020 16:47:08|Замполит Aleks Kib|62 бумаги у меня было в начале захода на рынок облигаций в 2017 году
52|26.02.2020 16:47:39|Evgeny P|неожиданно Черкизово сегодня просадили шипом низко
53|26.02.2020 16:49:17|Mikhail Evdokimov|RGBI 0.43
54|26.02.2020 16:49:28|Soa|тогда было денег больше
58|26.02.2020 16:55:32|Mikhail Evdokimov|Мне кажется просто снимается перегрев. Посмотрим что будет с корпоратами когда ЦБ не снизит ставку
59|26.02.2020 16:56:00|Soa|да..интересно, куда деньги пойдут..
62|26.02.2020 17:01:27|Ruslandd|
63|26.02.2020 17:03:50|Mikhail Evdokimov|В дешевеющие ОФЗ
64|26.02.2020 17:04:41|Soa|нерезы наши кормильцы
65|26.02.2020 17:23:29|Alexey Vishnyakov|А что случилось Я сейчас глянул  ну да  за 2 дня просело. Менее 0,5  какая разница Прошлым летом под грузовик какой нибудь и больше заливали.
66|26.02.2020 17:30:42|Владимир Парцей|Лично я сейчас из вдо вышел. Думаю многие поступили так же. Встретить кризис в вдо такое себе удовольствие
67|26.02.2020 17:31:22|Aleksandr|Шоратнул рынки 
68|26.02.2020 17:32:53|Владимир Парцей|Нет. Купил акции обуви и Северстали на 15 от депо. А остальное в гтлк 10
69|26.02.2020 17:35:51|Dmitry Manzor|Всмисля Долговой рынок в кризис стоит лучше акционного
70|26.02.2020 17:37:25|Vladimir|Давно тут за акции не банят
71|26.02.2020 17:41:47|Павел|Из вдо в акции обуви, которая сама вдо
72|26.02.2020 17:55:47|Alex Petroff|Давайте про облиги. Остальное в чат Друзя. Хотите  обсуждайте свои риски в личке с любым участником чата. Зачем с трибуныто Начну ведь режим чтения раздавать.
73|26.02.2020 19:22:03|Шура SiberianRanger|Первичка 26 февраля
74|26.02.2020 19:32:58|IURII D.|ООО НПП Моторные технологии зарегистрировали второй выпуск биржевых облигаций серии 001P02 Срок обращения 1092 дня Номинальная стоимость облигации выпуска 1000 рублей Способ размещения ценных бумаг открытая подписка https//www.edisclosure.ru/portal/event.aspxEventIdDxgW8WjvlEaJreaff26TGQBB
75|26.02.2020 19:35:38|Harry Lime|Про второй выпуск было известно еще месяц назад , цена 110 как бы намекала  продай меня.
78|26.02.2020 19:40:08|К& Б:))🍷|Так видимо эти 60 бумаг меньшего качества, чем 21 бумага Замполита. У меня сегодня облиги скорее в небольшой плюс, где то 0.5. Акции добавили 1.5
79|26.02.2020 19:41:30|Soa|все 60 Вы точно пробовали покупать облигации в портфель Или понаслышке
80|26.02.2020 19:41:59|Harry Lime|Я думаю большая доля ликвидных ВДО  Обувь , Вита , Инструменты ...
81|26.02.2020 19:42:51|Soa|Не знаю уместно ли давать советы, но иногда лучше промолчать чем ляпнуть глупость.
82|26.02.2020 19:44:04|К& Б:))🍷|Коллега. У меня другие облиги. Не как у вас набор.
84|26.02.2020 19:45:50|Soa|Вот у меня есть 2 бумаги Дени, 11 мясничегоосталось и прочие есть по копейкам, коллега.. Не знаете для чего
85|26.02.2020 19:48:35|К& Б:))🍷|И даже не интересно. У меня другие бумаги, другие объёмы, другой подход к формированию и отслеживанию портфеля. Думаю, даже программы у нас разные
88|26.02.2020 19:49:34|Vitaliy Klimenko|Для чего
89|26.02.2020 19:49:41|Soa|Я говорил сравнительно...
93|26.02.2020 19:59:24|Aleksandr|А просто добавить в список котировок 
94|26.02.2020 20:00:38|Soa|мне удобнеепривычней как я описал.. В разных программах по своему..
95|26.02.2020 20:09:40|К& Б:))🍷|У меня с 02.01.2020 по 26.02.2020 портфель вырос на 8.4. Без особого моего вмешательства. Зачем мне волноваться за Ваши облигации 
96|26.02.2020 20:10:43|Soa|я рад за вас, но это вы о качестве моего портфеля заговорили...
97|26.02.2020 20:11:34|К& Б:))🍷|Мир. Дружба. 
98|26.02.2020 20:11:56|Soa|и ни как иначе
99|26.02.2020 20:12:36|Aleksandr|Не расходитесь, можно еще поскандалить. Вместе 
100|26.02.2020 20:12:40|Alexey Vishnyakov|Пошлу жара  детишки меряются величиной пиписок...
101|26.02.2020 20:12:50|Soa|Я могу показаться резок, но это издержки эпистолярного жанраплохо владею Сто раз извиняюсь если кого то когда то обидел..
103|26.02.2020 20:14:04|Vitaliy Klimenko|На бычьем рынке
104|26.02.2020 20:14:40|К& Б:))🍷|На бычьем приятно 
105|26.02.2020 20:29:03|Mikhail Evdokimov|Сообщения о достижении интересующей цены в Quik
106|26.02.2020 21:40:35|Andrey|Почему вы так решили В дополнении к первому выпуску, они еще льготного лизинга набрали.
107|26.02.2020 21:50:54|Harry Lime|Пока внутренние правила запрещают им брать вторые выпуски , только дебюты , так что аккуратнее с заявками , мечты могут резко сбыться
108|26.02.2020 22:16:17|Servis|На это много кто рассчитывает
110|26.02.2020 22:17:07|Дмитрий Адамидов|Откуда опять тут преф и БДСМ
113|26.02.2020 22:19:37|А что ты сделал для котэ!?|У кого есть опыт участия в книгах  в день размещения во сколько бумаги ставят на счет
114|26.02.2020 22:20:37|Harry Lime|Как ВДО около 15
115|26.02.2020 22:35:34|Dm Vl|Котофей готовится встречать рольф
116|26.02.2020 22:41:03|Aleksandr|после обеда
117|26.02.2020 22:43:21|MММ🥕🐹|Щас вот в чат придут слоники и обсуждение закончится 
118|26.02.2020 22:44:38|Aleksandr|Не каждый слоник сравнится с Soa
119|26.02.2020 22:45:59|MММ🥕🐹|Мне пофиг на доходность  главное чтобы денежный поток рос 
120|26.02.2020 22:46:07|А что ты сделал для котэ!?|А можно я буду слоненком, у которого был короткий хобот
121|26.02.2020 22:46:09|Helena Yakh|Александр, а вы в Легенду и Самолёт идёте
122|26.02.2020 22:46:48|Aleksandr|Можно.главное ж не длинна хобота , а умение
123|26.02.2020 22:47:11|MММ🥕🐹|Согласен на отрицательную доху при условии роста потока 
124|26.02.2020 22:47:20|Aleksandr|Предварительно иду в Легенду , но немного.
125|26.02.2020 22:47:42|Helena Yakh|Спасибо за ответ , 
126|26.02.2020 22:48:04|MММ🥕🐹|Умение им пользоваться 
127|26.02.2020 22:53:31|Denis Zimin|Helena что за приложуха
128|26.02.2020 22:53:54|Fin Partner|Елена ее быстро убрала...
129|26.02.2020 23:01:26|Vitaly|Почему именно гтлк 10
130|26.02.2020 23:23:52|Andrew|На Джи приходите
131|26.02.2020 23:42:00|Дмитрий Адамидов|обязательно
133|27.02.2020 00:11:24|Alex Petroff|Баны за написание всякой херни про банки и банкоматы розданы.
135|27.02.2020 01:17:05|Denis Kozlov Septem|Пренепременнейше. Ставка  интрига
136|27.02.2020 01:35:24|А что ты сделал для котэ!?|На размещение Или будет презентация
138|27.02.2020 07:41:04|Alex Sm|Какая там может быть интрига 14 
139|27.02.2020 07:42:52|Harry Lime|Пха 10,511
141|27.02.2020 07:46:28|Alexey|Так и хочется всегда сказать эмитентам на такое  идите и берите дальше там где брали по 9
142|27.02.2020 07:47:49|Alexey Vishnyakov|Это вы о легенде А разве там не 11
143|27.02.2020 07:48:02|Harry Lime|Мы о точке G
144|27.02.2020 07:49:13|Alexey Vishnyakov|Все  прочёл Новый застройщик
145|27.02.2020 08:48:12|greydjin|МФК КарМани сообщила получении 100 млн рублей, средства получены в виде оказания безвозмездной финансовой помощи и направлены на увеличение размеров чистых активов эмитента
148|27.02.2020 08:51:07|GlavRedBoom|В рубрике полезного чтения  обзор основных этапов развития рынка телекоммуникационных услуг https//boomin.ru/9ZQCK
149|27.02.2020 08:52:35|Harry Lime|Уже падает , ловите скорее
150|27.02.2020 09:00:01|Andrey Mayorov|У ОМа скоро оферта, прогнозы есть по купону Там же ещё гдето ом2 болтается по слухам
151|27.02.2020 09:00:55|Harry Lime|Ставлю на 14
152|27.02.2020 09:03:44|Andrey Mayorov| манимен форева
153|27.02.2020 09:09:25|Harry Lime|Такая корова нужна самому ...
154|27.02.2020 09:38:57|Alexi|Это очередная докапитализация , акционеры доливают
155|27.02.2020 09:44:04|Павел|видимо дыры там
156|27.02.2020 09:47:28|Oleg Egorov|Самое время разместить очередной биржевой выпуск...
157|27.02.2020 09:53:47|Harry Lime|Рано
158|27.02.2020 09:55:21|AngelicScale|А разве при дырах доливают Я думал, выводят оставшееся 
161|27.02.2020 10:07:19|Yak|За дорого
162|27.02.2020 10:07:55|Alex S|это был сарказм  понятное дело, что счасливчег тут тот, кто умудрился продать
163|27.02.2020 11:12:39|К& Б:))🍷|Это скорее всего была шутка. 6ю облигами бумагу разогнать 
164|27.02.2020 11:24:48|Alex Sha|Через Сбер никак.
168|27.02.2020 11:42:24|Dmitry K|Торопился видтио
169|27.02.2020 11:43:54|Alex Sha|Через ВТБ элементарно.
170|27.02.2020 11:44:35|Vadim Brohkin|http//www.edisclosure.ru/portal/event.aspxEventIdDV8PhggxFUawDRkPXGlJTgBB
171|27.02.2020 11:52:22|Alexander G|Конечно элементарно потому как они одни из организаторов выпуска 
174|27.02.2020 12:01:19|Санек|Норм девелопер из Еката. Планирую участвовать
175|27.02.2020 12:25:57|Denis Zimin|Там то хоть софт заЯвка будет или тоже по взрослому
176|27.02.2020 12:26:35|IURII D.|Взрослая
177|27.02.2020 12:41:43|Вадим|Подскажите комсу если подам заявку на первичку Самолета через приложение ВТБ брока Такая же как и за обычную сделку на вторичке будет
178|27.02.2020 12:42:35|Aleksandr|да
179|27.02.2020 12:43:33|Sergey Aleshkovich|На Мой онлайн  152153 руб к обычной комиссии
180|27.02.2020 12:44:31|Вадим|Эвоно как. 8800 мне тоже сказало, что обычная комса как на вторичке.
181|27.02.2020 12:47:06|Sergey Aleshkovich|Там можно указать колво облигаций и сумма рассчитается. В примечании сказано, что комиссия по факту может отличаться, но как  непонятно. И непонятно, если не пройдешь, то эти 152153 руб спишут в любом случае ...
182|27.02.2020 12:47:43|Вадим|Понял, спс.
183|27.02.2020 13:14:40|Dmitry Manzor|пусть делают оферты и не выдумывают
184|27.02.2020 13:14:49|Harry Lime|Мы через 3 года
185|27.02.2020 13:16:31|Даниил Иванов|Главное чтобы не в этом месяце 
186|27.02.2020 13:17:11|Harry Lime|Единственный вопрос  кто будет Yida
189|27.02.2020 13:20:15|Шура SiberianRanger|Да го прямо в 20м дефолты и баксорупь по 100. Облигационер, будь готов
190|27.02.2020 13:21:35|Alexey|Буду рад если у нас 3 года есть
191|27.02.2020 14:04:01|Kirill Kopelovich|Уважаемые коллеги, добрый день От имени Управляющей компании ВостокЗапад по согласованию с уважаемым владельцем чата информирую вас о новом открытом ПИФе, фокусирующемся на ценных бумагах компаний малой и средней капитализации. Основные детали ниже. ОПИФ рыночных финансовых инструментов Фридом  Смешанные инвестиции зарегистрирован 24.10.2019 года, а с 17 февраля текущего года торгуется на Московской бирже. Основную долю портфеля фонда составляют выпуски облигаций и акций, организатором которых выступает ООО ИК Фридом Финанс. На сегодняшний день в портфеле находятся хорошо известные выпуски Труд, СЭЗ, ЭкономЛизинг, валютный Фридом Финанс и другие. В перспективе 2020 года количество выпусков в портфеле будет увеличиваться. Целевая диверсификация  1520 выпусков. Минимальный объем покупки через агента ООО ИК Фридом Финанс  100 000 рублей. Котировки одного пая на бирже в настоящий момент 21200/21250 рублей. На ваши вопросы готов ответить в личке или по адресу kopelovichewmc.ru
192|27.02.2020 14:15:19|Андрей ☭ Емельянов|Тикер
193|27.02.2020 14:16:32|Kirill Kopelovich|ОПИФФридСИ
