|time|user|text
1|05.03.2020 21:56:25|Елена Филякина|Если передумаете, намекните над какими бумагами будете экспериментировать
2|05.03.2020 21:58:22|Helena Yakh|, подбирать будем Мистер по 60 возвращается как в Легенде 60 и Кармани по 71
3|05.03.2020 22:00:55|Елена Филякина|Так уже сколько можно ждать Легенду по 70.
4|05.03.2020 22:03:25|Helena Yakh|Была же по 71, но не ждали. Теперь готовы
5|05.03.2020 22:03:39|Soa|да да..мне тоже интересно, чисто посмотреть
6|05.03.2020 22:05:09|Ivan Z|Думаете много наловите Там же объемы проливов небольшие, а ловит много кто уже. Чемто советскую очередь напоминает в Макдональдс, как на известном фото
7|05.03.2020 22:06:42|Soa|меня всегда умиляют ловцы по 60 и т.п. И любители по 1 бумаге огород городить
8|05.03.2020 22:07:37|Dmitry Aleksandrov|Сходу не помню, местный
11|05.03.2020 22:11:27|Елена Филякина|Да мы всей командой подтянемся
13|05.03.2020 22:15:19|Sky|Если бидов нет совсем то заявка по рынку будет отменена.
14|05.03.2020 22:20:55|Ivan Z|Это да ну может автоматом заявки кто проставляет везде, руками это довольно безумно делать
15|05.03.2020 22:22:00|Evgeny P|бывало и по 50 наливали
17|05.03.2020 22:29:12|Evgeny P|если портфель небольшой то это очень недолго. Выставляешь и ждешь. Редко, но срабатывает. Но не по 60 конечно. Это наверное действительно почти нереально поймать, хотя в ноябре ктото чихнул в Рубеж и там как раз пробивало на 40
20|06.03.2020 07:57:38|Andrey|Тариф мой онлайн, голосовое 150 р/шт. Остальные тарифы 5 шт безплатно, далее платно.
21|06.03.2020 08:03:45|Мирошниченко Алексей|Подача на оферту через брокера ВТБ  1000 руб. Так ответили на вопрос по эл.почте
22|06.03.2020 08:07:32|Александр Нечаев|В день 5 бесплатно
23|06.03.2020 08:13:20|Кот Базил|Это не оферта через депозитарий За такую, да 1000р. Это через рпс выкуп, тариф как у обычной сделки, плюс компа за заявку по телефону, если есть..
24|06.03.2020 08:14:45|Александр|Это у вас ВТБ получается не берет комсу как за оферту Бкс например берет полную комиссию, им не важно, что там рпс
25|06.03.2020 08:15:25|Andrey|Ответил в друзе.
26|06.03.2020 09:06:45|MММ🥕🐹|Письмо по шаурме пришло кому
27|06.03.2020 09:09:19|Dmitry Manzor|нет, но обещают до 1000 прислать
28|06.03.2020 09:09:47|MММ🥕🐹|50 минут осталось 
