|time|user|text
1|02.08.2018 08:58:00|Harry Lime|Приготовился к лулзам
2|02.08.2018 09:20:18|Giovanni Goudini|Далее должен быть апокалиптический пейзаж
3|02.08.2018 09:21:03|Harry Lime|Не , все растет , кризиса нет , несите ваши денежки....
4|02.08.2018 09:21:36|Giovanni Goudini|Там где поле поле поле чудес
6|02.08.2018 09:21:46|Harry Lime|Ага
7|02.08.2018 09:22:06|Giovanni Goudini|Нкхп дешевле 5 прибылей ушёл
10|02.08.2018 09:22:53|Harry Lime|А выборы в 19м году их не травмируют
12|02.08.2018 09:28:34|Giovanni Goudini|Путаешь
16|02.08.2018 09:29:14|Harry Lime|Я уж понял.
18|02.08.2018 09:48:14|🆃🆁🅴🅸🅳🅴🆁 🅼🅾🆃🅾|Логичный взгляд.и так думает большинство и риски уже закладывают в рынок. Частично уже в цене. Кто то сегодня ждёт санкции что то в сенате будет ,грем вещает
20|02.08.2018 10:12:05|Sergei|Если бы покупка длинных Облигации была историей банальной жадности и бесплатных денег , то на фоне распродаж не было бы такой волаиильности
24|02.08.2018 10:22:12|Harry Lime|А как тогда выполнять план по заимствованиям Тихо сами с собою Минфин выпускает , ПСб на деньги ЦБ покупает.
25|02.08.2018 10:27:50|Дмитрий Адамидов|главный тут вопрос в другом на мой взгляд зачем заимствовать если у тебя профицит
27|02.08.2018 10:32:13|Sergei|Думаю ответ на этот вопрос лежит а плоскости интересов конкретных лиц
28|02.08.2018 10:32:51|Дмитрий Адамидов|это понятно, но нельзя ли стимулировать конкретных лиц с общего процентного результата уж по моему очевидная вещь
30|02.08.2018 10:50:04|Nikolay Pavlov|Видите о1
33|02.08.2018 11:01:37|Sergei|Минц внёс кровные
34|02.08.2018 11:02:01|Сергей Ковалев|кто то стал миллиардером
35|02.08.2018 11:03:23|Nikolay Pavlov|Не думаю
38|02.08.2018 11:03:55|Sergei|Поздравляю 
39|02.08.2018 11:04:00|Дмитрий Адамидов|ну прекрасно мои поздравления
42|02.08.2018 11:04:39|Sergei|Всеравно приятно
43|02.08.2018 11:04:46|Дмитрий Адамидов|ну да, бесспорно
44|02.08.2018 11:05:30|Сергей Ковалев|но портфель улететь должен в космос, в 238 раз актив возрос
45|02.08.2018 11:07:16|Michael|А бидыто есть по таким ценам
46|02.08.2018 11:07:52|Giovanni Goudini|И есть ли они
47|02.08.2018 11:08:07|Nikolay Pavlov|Там все есть
49|02.08.2018 11:09:39|Giovanni Goudini|Интересно с чего бы всё это
52|02.08.2018 11:12:02|Nikolay Pavlov|Пхаха
55|02.08.2018 11:12:39|Дмитрий Адамидов|это неважно  усреднился не усреднился. кто об этом потом вспомнит
58|02.08.2018 11:14:27|Oleg Lvov|Но бывший сослуживец Златкис Андрей Черепанов, до 2002 г. руководивший в Минфине департаментом внешнего долга, не находит в ее деятельности позитивных сторон. По его мнению, Златкис всегда навязывала политику иррационального наращивания госдолга и бюджетных обязательств, в чем Черепанов видит первопричины кризиса 1998 г.
