|time|user|text
1|03.09.2019 14:46:58|Soa|так то купон или доходность
2|03.09.2019 14:49:46|А что ты сделал для котэ!?|Купон С которым размешались в июле Где посмотреть дозу  не знаю
3|03.09.2019 14:51:23|Harry Lime|Мы обсуждали этот момент на встрече , они я так понял не успели вовремя цифры подать. Так должны быть на 67 месте.
4|03.09.2019 14:52:18|Михаил|О, спасибо
5|03.09.2019 14:54:29|Turgor|Рус 30 распродается по вчерашним ценам, в отличие от Рус 28 и Газп 34
8|03.09.2019 14:57:30|Harry Lime|Так нет ликвидности
9|03.09.2019 14:57:36|🚲|Участие в облигациях Тинькофф уже обсуждали Что думаете
10|03.09.2019 14:58:12|Harry Lime|Здесь такое низкодоходное не обсуждают.
11|03.09.2019 14:58:37|Turgor|С моим микродепо мне хватает. По паре лотов в день продать можно.
12|03.09.2019 14:58:47|Harry Lime|Только так
13|03.09.2019 14:59:20|🚲|Я тоже было подумал сначала, что 8 в долларах. А как узнал, что в рублях, грустно стало
14|03.09.2019 15:00:07|Harry Lime|Если Тинькофф предложил бы 8 в долларах значит надо было бы не покупать , а тикать оттуда
15|03.09.2019 15:00:49|🚲|Согласен. Хорошо, что в рублях
16|03.09.2019 15:11:36|Andrey Hohrin|прлизинг роделен мсблизинг бэлтигранд технолизинг пионерлизинг солидлизинг директлизинг Спасибо Эксперту Весь лизинг с фондированием через ВДО  на одной страничке серые строки. Лидер  ПР, серебро  Роделен, почетное третье место  МСБ.
17|03.09.2019 15:24:28|Denis Ipatov|Вот что он сегодня предложил Тинькофф Капитал получил лицензию Банка России на управление паевыми инвестиционными фондами. Летом 2019 г. Тинькофф анонсировал фонды в двух валютах  в рублях и долларах США. Сейчас принято решение дополнить этот список фондом в евро. Ждём поплнение в семействе ETF.
21|03.09.2019 15:33:32|Oleg Egorov|Интересно будет посмотреть состав этих фондов...
22|03.09.2019 15:45:46|Valery Chistyakov|Более интересны будут комиссии
24|03.09.2019 16:02:07|Maison|Ага... И кэшбек....
25|03.09.2019 16:24:56|Alex|Юниметрикс покупает топливо в СПБ, продает в предуралье, а директор вообще в Сибири. Это вообще как
26|03.09.2019 16:25:20|Dmitry Manzor|Глобализация
27|03.09.2019 16:30:20|Andrey Solyanik|По моему, на СПБ просто биржевые контракты заключаются. Физически топливо покупается в хранилищах оптовиков
