|time|user|text
2|12.10.2019 12:19:20|Why Aye Man|Если вы про Дениса Козлова, то он не имеет никакого отношения к Обуви России ставка 12, купон квартальный
3|12.10.2019 12:20:45|Aleksandr|Обувь анкета выпуска Обувь России, 001P01 4B020100412R001P, RU000A100V61, ОбувьРо1Р1
5|12.10.2019 12:28:33|Pro.Kapital|Конечно же, нет Такой смелостью не обладаю. Даже
8|12.10.2019 12:54:41|Дмитрий Адамидов|ну с ТГК2 это сработало
10|12.10.2019 12:57:51|Denis Kozlov Septem|Это просто был обзор текущих размещений. Мы никого из не размещаем.
11|12.10.2019 13:23:00|Вадим|Растолкуйте, плиз, почему при росте цены падает доходность Если бумага взята по номиналу, то и доходность ее не зависит от роста стоимости тела. Если купон, допустим, 15, так он и будет 15 вне зависимости от стоимости тела.
12|12.10.2019 13:26:57|Harry Lime|Доходность к погашению падает. По цене 100 и 105 с одинаковым купоном она будет здорово отличаться. Пока есть возможность продать по 105 и снова взять по 100 с таким же есть смысл так делать.
14|12.10.2019 13:49:13|Vladimir|При покупке с нкд и погасе налог снижается
15|12.10.2019 13:51:42|А что ты сделал для котэ!?|Как учитесь На каком то ресурсе
16|12.10.2019 13:52:21|Замполит Aleks Kib|Купон не облагается НДФЛ 13. кроме в части купона превышающего Ключ.ставку ЦБ5  там снимается НДФЛ по ставке 35
18|12.10.2019 14:10:32|Замполит Aleks Kib|Сын про умные таблицы Эксель рассказал, тоже ищу в интернете и учусь
21|12.10.2019 15:21:41|Mozg Company|Советую выше на пару дней посмотреть чат. Я хоть Excel хорошо и давно знаю, но там есть таблицы со связью данных по API мосбиржи. Там данные и котировки по бумаге тянутся сразу с биржи. Отличный пример для ведения портфеля. Диаграммы потом любые делайте. Посмотрите, не пожалеете.
