|time|user|text
1|07.04.2020 13:24:55|К& Б:))🍷|Те, кто не зашли на оферту по 80, вряд ли будут лить по 68  Только за вчера слито более 8000 бумаг. За сегодня почти 4000. За пятницу  10000. Весь крупняк должен был закончится с последней оферты 
2|07.04.2020 13:25:29|Aleksandr Mukhin|по оферте берут 20
3|07.04.2020 13:25:38|Ghisler|
4|07.04.2020 13:26:50|К& Б:))🍷|Вы уверены, что такое возможно Тогда имеет место быть манипуляция. И вы должны немедленно сообщить об этом в ЦБ
5|07.04.2020 13:27:28|Pavel Bilenko|мы должны сообщить не мы же продаем
6|07.04.2020 13:28:05|Harry Lime|Если судить по фильмам про Капитана Каттани  это ЦБ и организует.
7|07.04.2020 13:28:17|Pavel Bilenko|все правильно  ндфл не будет
9|07.04.2020 13:29:19|К& Б:))🍷|Конечно. Как любой гражданин. И как ответственное лицо. Просто обязаны. Иначе уже вопросы к вам возникнут
10|07.04.2020 13:30:25|Lizardking0808|Налицо игра на понижение бумаги. Павел, как достаточно опытный трейдер, не может это не замечать
11|07.04.2020 13:30:36|Pavel Bilenko|у вас же подозрения, вы и сообщайте
12|07.04.2020 13:30:39|К& Б:))🍷|С этим тоже не поспоришь 
13|07.04.2020 13:30:53|Pavel Bilenko|игру вижу, кто ее ведет могу только догадываться
14|07.04.2020 13:31:44|К& Б:))🍷|Так у вас предположение, что льет ктото, кто на оферту не принёс. Значит об этом должны вы сообщить
15|07.04.2020 13:32:03|Alexander|Его и так не будет. Когда продаёшь дешевле чем купил  нет ндфл
16|07.04.2020 13:32:15|Harry Lime|The big short
17|07.04.2020 13:32:29|Pavel Bilenko|у меня много разных предположений.
18|07.04.2020 13:33:12|Viacheslav Petriaev|на оферте в январе можно будет спокойно сдать по 100 весь объем
19|07.04.2020 13:33:29|Pavel Bilenko|по 100 или выше
20|07.04.2020 13:34:09|Aleksei Tuv|1000 р
