|time|user|text
1|25.08.2019 13:56:56|Alexey Vishnyakov|Один раз приходишь, они дают платёжные поручения за все переводы денег на иис.
3|25.08.2019 13:58:42|Алексей ayaye :)|но декларацию за 19 можно подать в 20, 21 и 22
4|25.08.2019 13:59:33|AngelicScale|Брокер  налоговый агент. На него возложена обязанность исчислить налог по вашим операциям, удержать с вас НДФЛ и перечислить его в бюджет. Если брокер сделал все верно и на вашем счете достаточно средств для уплаты ндфл, то указывать доходы от операций с ценными бумагами в декларации 3Ндфл необязательно. Только надо помнить, что есть операции, по которым брокер не нал. агент, типа иностранных цб, однодневок ВТБ и т.п.
5|25.08.2019 13:59:45|Nikolay Surkov|На основании какой статьи НК так
6|25.08.2019 13:59:49|Alexey Vishnyakov|Мне всегда возвращали в течении 4 месяцев.
7|25.08.2019 14:09:22|AngelicScale|Подп. 1 п. 3 Ст. 219.1 нк рф  вычет предоставляется в размере ден. средств внесенных в налоговом периоде. Плюс, по общему правилу, вычеты относятся к налоговому периоду. Нельзя из доходов за один налоговый период взять вычеты за два периода. Для исключений, типа имущественных вычетов в НК предусмотрены оговорки, см. п. 9 Ст 220, например
8|25.08.2019 14:10:41|А что ты сделал для котэ!?|Народ, а кто у нас нерезидент РФ  напишите сюда тли в личку, как облагаются купоны и дивиденды для нерезов в России
9|25.08.2019 14:11:34|Nikolay Surkov|Так тут про невозможность переноса речь. А подать декларацию по ИИС можно будет в течение трёх лет
10|25.08.2019 14:39:22|Maksim|Вот это ЦЕННО. Благодарю
11|25.08.2019 15:41:04|Skydiver|ИИС живёт вечно. Пока ещё...
12|25.08.2019 16:46:42|👑|Собирались тип вычета А убрать и оставить только Б
13|25.08.2019 17:03:30|Дмитрий Зотов|До поры до времени можно. Когда вы понесёте Документы на вычет в налоговую, и Налоговая увидит что вы купоны от облигаций которые лежат на ИИС выводятся на банк, то все будет зависеть от грамотности самих налоговиков, они могут признать это выводом денежных средств с ИИС, заставить брокера расторгнуть договор а вам  отказать в вычете. Именно поэтому и ФИНАМ и Открытие отказались от схемы вывода купонов с ИИС на банковский счёт. А вот с обычного счёта деньги в финаме точно можно ввести на банк. Поручение оформляют сотрудники финама а вы подписываете электронно.
16|25.08.2019 17:11:52|Nikolay Surkov|Их же можно загрузить с электронной подписью через личный кабинет налоговой
17|25.08.2019 17:15:24|Alex|С таким же энтузиазмом обсуждали бы ВДО
18|25.08.2019 17:15:34|Skydiver|Собирались. Но человек написал, что ИИС живёт три года. Я пояснил, что три года его нельзя закрыть, что бы не потерять льготы. Но можно и не закрывать. Такой обязанности нет.
19|25.08.2019 17:16:22|Евгений Инвестор|ЦБ считает, что получать купоны и дивиденды на банковский счёт вместо ИИС вполне законно. https//www.consultant.ru/cons/cgi/online.cgireqdocampbaseQUEST001ampn15099007989423330352676
20|25.08.2019 17:18:52|Дмитрий Зотов|Да отлично, повторюсь, вопрос в трактовке налоговой.  просто отнимает время и силы
21|25.08.2019 17:27:55|Nik Alex|Да уж Порой требования и трактовка норм закона налоговой переходит все разумные границы. Кстати, о сроках возврата. В этом году массовые задержки и затягивание указанных сроков по закону не более 4 месяцев. Сдавал 3 НДФЛ за период 2017 г. в середине декабря 2018 г. Возврат налога был зачислен на карту 21.08.2019 г. после трёх жалоб в управление ФНС
22|25.08.2019 17:47:37|Yury I.|ИИС типа А необходимо закрыть по истечении 3х лет, затем можно открыть новый  разве не так
23|25.08.2019 17:51:24|Nik Alex|Три года владения ИИС  это минимальный срок, максимального срока не установлено
24|25.08.2019 17:52:35|А что ты сделал для котэ!?|30  на купон Или на дивы тоже А на доход от торговли
25|25.08.2019 18:02:05|Maksim|Да там полный абзац. В этом году у меня было приключение из жалобы изза просрочку, жалобы на жалобу, жалобы на бездействие по жалобе. В этом личном кабинете статусы неактуальные, интерфейс пальцем левой ноги делали. Если у инспектора будут к вам вопросы, как он сможет задать А я теперь знаю. Позвонит и предложит сканы отправить на почту в домене mail.ru . И да, в ФНС все держится на сканах. Даже когда приходит отбивка о том, что заявление зарегистрировано, на практике это означает что есть бумажное свидетельство со сканом и подписью, которые они и прикладывают в обращение. Кучу камералок в этом году сорвали по срокам, да. Знающие люди говорят, что в этом году не хило так легли все эти сервисы ФНС. Другие знающие люди говорят, что у них всегда все работало через одно место и они вечно срывают сроки и потом хрен с них получишь неустойку. Так что для тех, кто думает что вернуть эти 52 тысячи туда легко, как купить ломбмастера, есть плохие новости
26|25.08.2019 18:02:59|Konstantin|Подтягиваются они с задержкой. Если подавать в январе никаких сведений за предыдущий налоговый период не будет.
27|25.08.2019 18:05:14|К& Б:))🍷|Опять ВТБ в общем случае не при чём. Платёжки получаются в банках, со счетов которых вы зачислили деньги на ИИС. И это не обязательно ВТБ. Вы могли перечислять со сбера, с альфы, с открытия и т.д. На все средства, что вы внесли за год. Т е все 400 тыс.., сколько там платёжек ни получилось...
28|25.08.2019 18:07:04|DIM|Ну в плане что можно и дальше им пользоваться, это да, просто если выводить средства то не ранее чем через 3 года после открытия я к этому
30|25.08.2019 18:11:38|Nik Alex|В отчете брокера ВТБ есть информация о датах поступления средств на счёт ИИС
31|25.08.2019 18:15:04|К& Б:))🍷|Обычно, вы эти отчеты налоговой не предоставляете...
32|25.08.2019 18:27:26|Дмитрий Зотов|Дивы и купоны если мне память не изменяет 15
34|25.08.2019 18:29:50|Privet|Не пугайте людей, очень легко взыскать с фнс пени за просрочку, даже в суд не пришлось обращаться. Сам взыскал и другим подсказал как делать в соответствующей теме на банки.ру. Просто жаловаться надо не через ЛК, а через сайт фнс и сразу в центральный аппарат. Тогда и возврат моментом делают и даже пени за просрочку возвращают.
35|25.08.2019 18:30:51|Дмитрий Зотов|Да, сейчас попроще становится чем 3 года назад
36|25.08.2019 18:36:51|Leonidas|Для вычета в фнс мною был предоставлен отчёт брокера и мемориальные ордера
37|25.08.2019 18:37:51|Konstantin|Подаю не позднее 15 января. Все документы к этому времени есть. Брокер Сбербанк. Чем раньше получишь тем быстрее их можно разместить в теме самые облигации и получить доход.
38|25.08.2019 18:47:07|Владимир Тутынин|И где он закончил
39|25.08.2019 18:47:36|Сергей Ш|Чушь
40|25.08.2019 18:50:28|Владимир Тутынин|ЧемАморт остается на счете.
41|25.08.2019 18:51:01|Maison|Вчера вроде весь замысел разжевали
42|25.08.2019 18:52:04|Владимир Тутынин|Это было вчера 
43|25.08.2019 18:53:08|Maison|Ночью если точнее и разжевывал Гарри
44|25.08.2019 18:56:46|Alexey Vishnyakov|У меня тоже требовали и брокерский отчёт, и платёжные поручения. Ещё просили сделать копию договора на открытие иис.
45|25.08.2019 18:58:23|Leonidas|Да, всё верно в договоре/заявлении номер счета на который вы вносили деньги
47|25.08.2019 19:34:26|S.P.|Расскажу свой опыт борьбы с затягиванием. Пишете заявление по истечении отведенных законом сроках с требованием вернуть помимо основной суммы ещё и пени и неустойку. Очень помогает  Ну и прибавка к вашим кровным
48|25.08.2019 19:37:27|dimakarp1996|У меня следующий вопрос
51|25.08.2019 20:04:28|Юрий Хлыстов|А разве с налогов уплаченных брокером можно вычет получать
52|25.08.2019 20:11:31|Nik Alex|На два заявления в управлениеотписки, что, мол, да Вам одобрен вычет и инспекции указано на недопустимость нарушения сроков. На третье заявление такая же отписка, но ещё через неделю, деньги капнули на карту. 8 месяцев ожиданий вместо четырёх.
53|25.08.2019 20:12:38|S.P.|Если требуете пени, то их выплачивает вам Минфин а не налоговая. И уже Минфин будет налоговую натягивать вплоть до конкретных сотрудников как они это допустили.
54|25.08.2019 20:18:13|Юрий Хлыстов|Скиньте пожалуйста образец гневного письма
55|25.08.2019 20:21:37|S.P.|Образец слишком большой. Выдернул абзац про это В соответствии с п.2 ст. 88 НК РФ, прошу в течение трех месяцев со дня представления налогоплательщиком налоговой декларации провести камеральную проверку, по результатам которой, в соответствии с п.6 ст. 78 НК РФ, в течение одного месяца со дня подачи налогоплательщиком налоговой декларации но не ранее окончания камеральной налоговой проверки осуществить перевод вышеуказанных денежных средств по следующим банковским реквизитам Банкполучатель ______ Корр. счёт ______ БИК ______ Получатель ________________ Счёт получателя платежа ___________ КПП _______ В соответствии с п. 10 ст. 78 НК РФ, в случае нарушения сроков перечисления денежных средств на счёт налогоплательщика, установленных п.6 ст. 78 НК РФ, прошу на сумму излишне уплаченного налога, которая не была возвращена налогоплательщику в установленный законом срок, на основании данного требования, начислить проценты, подлежащие уплате налогоплательщику по ставке рефинансирования Центрального банка Российской Федерации за каждый календарный день нарушения срока возврата.
56|25.08.2019 20:23:40|Юрий Хлыстов|Спасибо, добрый человек
57|25.08.2019 20:24:51|Евгений|Конечно. Это такиеже доходы физ лица, как и зп, купляпродажа имущества и прочее 13 процентное обложение.
58|25.08.2019 20:25:06|Юрий Хлыстов|Но к слову скажу примерно в ответ на такое же письмо все мои документы поданные на вычет неожиданно пропали из личного кабинета налогоплательщика..... правда после повторной подачи камеральная проверка прошла в течении двух недель. первый раз подавал в марте. Сейчас сижу жду зачисление на счёт
59|25.08.2019 20:27:04|S.P.|Вы ответы из налоговой сразу сохраняйте. Так же как и сохраняйте информацию о подаче документов, информацию о том когда декларация была принята и т.д.
60|25.08.2019 20:27:11|Юрий Хлыстов|Чтото я в личном кабинете не видел, чтобы в 2ндфл у меня был указаны какието налоги от брокера. может не там смотрел
61|25.08.2019 20:27:18|Евгений|Я так думаю при закрытии ИИС А можно попробовать и удержанный налог вернуть вычетом, в последнем году
63|25.08.2019 21:15:38|Harry Lime|В большинстве субфедов с 34 сотнями бумаг вы будете королем стакана
65|25.08.2019 21:31:24|Сергей Ковалев|автоматически все подгружается только в марте апреле..., до этого все ручками надо делать финам делает свой 2 ндфл в марте вроде
66|25.08.2019 21:34:29|dimakarp1996|Даже не тысяч рублей, а бумаг И как скоро можно из этого статуса выйти
70|25.08.2019 21:36:32|Сергей Ковалев|только очень долго подтягиваются они, и на руки выдают далеко не в первые месяцы
