|time|user|text
1|16.12.2019 12:31:16|Дмитрий Адамидов|возрадуемся братья
2|16.12.2019 12:31:43|Sergey S|А что за производство
3|16.12.2019 12:31:48|Дмитрий Адамидов|и самые отважные  добавим позицию
4|16.12.2019 12:39:59|Максим Кочнев|Это КЭС, то что ждем от Универа
5|16.12.2019 12:42:14|Sergey S|Ок
7|16.12.2019 12:47:13|Harry Lime|Помогло тем кто продал по 98
9|16.12.2019 13:03:21|Vitaliy Klimenko|Здравствуйте Видео ваше посмотрел, почитал про кэс. Правильно ли я понимаю, что вы по сути покупаете мобильные генераторы/станции. Делаете специализированные контейнеры и перепродаете То есть производство сводиться к изготовлению контейнеров.
10|16.12.2019 13:09:02|Sergey Sidorov|Не просто тишины, а гробовой тишины...
11|16.12.2019 13:10:40|Тим Тим|Типа мобильный дом, вагон.. у меня тут одна конторка их тыщами штампует для газпрома, мчс и т.д.
13|16.12.2019 13:15:22|Aleksandr Mukhin|это обычшая практика. есть точно такие же контейнеры с насосными станциями. вроде ничего сложного, но надо чтобы это а работало без перебоя, б работало без перебоя при 50
15|16.12.2019 13:24:30|Vladimir|раскрытие отчетности до размещения будет
16|16.12.2019 13:38:59|Reincarnation Man|Когда же уже размещение Деньги карман жгут 
17|16.12.2019 13:39:18|Константин Цехмистренко|Это сделать можно. И поскольку вопросов по отчетности достаточно много, то отчетность будет раскрыта в ближайшее время
19|16.12.2019 13:43:37|Vadim Brohkin|Доброго дня. Кармани 2 и 3 практически сравнялись при разных купонах. С чего бы
20|16.12.2019 13:44:29|Harry Lime|Дюрация животворящая
21|16.12.2019 13:45:08|Vadim Brohkin|так до 10.2020 еще далеко
23|16.12.2019 13:46:56|Harry Lime|Ну да , перешли в третий выпуск
25|16.12.2019 13:52:56|Anton|Добрый день Коллеги, как думаете, почему такая разница в доходности у Манимен и ОМ Рискто по сути одинаковый, учитывая поручительство Манимен по выпуску ОМ..
26|16.12.2019 14:04:15|Harry Lime|Состав игроков имел значение. Из Манимена ушли 250 в прошлом году и 168 млн в этом , то есть считай все слоны и институционалы. В ОМ то , что брал на себя орг по видимому еще дораздается . Скорее всего скоро замутят второй выпуск ОМ для вышедших из ММ и вылитого в стакан по ОМ1.
27|16.12.2019 14:08:08|Olior|Что такое ОМ
28|16.12.2019 14:09:26|Harry Lime|Единица измерения электрического сопротивления
29|16.12.2019 14:10:28|Olior|Кто объяснит почему Кармани разместились за 1 день, а БД до сих пор не разместился. Есть какая то реальная причина
30|16.12.2019 14:10:34|Aleksandr Mukhin|АйДиЭф
31|16.12.2019 14:13:52|Olior|Похоже чат превратился в чат для избранных. Которые стебутся над новичками.
32|16.12.2019 14:14:02|Harry Lime|Есть , правильно рассчитанный и организованный спрос на Кармани.
33|16.12.2019 14:15:18|Denis Kozlov Septem|Это плохо. Так нельзя делать. Без новичков нет движения вперед.
34|16.12.2019 14:16:26|Olior|Вот именно.
35|16.12.2019 14:17:08|Anatol M|еще и почти в два раза больший объем
37|16.12.2019 14:18:46|Владимир Парцей|1 я думаю, что из за объёма размещения БД и того, что у них нет богатого опыта облигационных займов, в отличие от Кармани. 2 вы быстро сами станете опытным. Среда меняет людей
38|16.12.2019 14:19:00|Harry Lime|Обсуждали миллион раз , что такое ОМ , так что это из шуриной практики скорее
39|16.12.2019 14:25:11|Ilya|Чат для избранных точно, но есть социальные лифты  поиск по чату angry bonds faqзакреплённое сообщение сверху. Вопросы в личку. Чтение всего подряд. Присоединяйтесь, мы тут меняем мир, превращаем обычных людей в избранных.
40|16.12.2019 14:27:26|Vitaliy Klimenko|Кстати да, просто чтение истории чата многое даёт, особенно умиляет чтение начала 2018, когда думают что ставки будут расти пользуйтесь
41|16.12.2019 14:33:52|Alexey|Так считал не только чат Кстати сейчас все считают что ставки продолжат снижаться 
42|16.12.2019 14:37:18|Denis Kozlov Septem|Подождите, так ключевая ставка и выросла во второй половине 2018 года
44|16.12.2019 14:42:36|Vitaliy Klimenko|Да, выросла. Моё сообщение о том, что новичкам просто полезно почитать чат с самого начала, сам читаю иногда
45|16.12.2019 14:44:21|Denis Kozlov Septem|Тогда это лайфхак  как провести январские каникулы и не сойти с ума  читаем чат Angry Bonds с самого начала
46|16.12.2019 14:45:45|First Last|Боюсь не хватит, тут на неделю отвлечешься уже не прочитать всё
47|16.12.2019 14:47:15|Denis Yahontov|Гарри, смотрите, на русбондсе уже информация находится о втором выпуске. https//www.rusbonds.ru/ank_obl.asptool158607
48|16.12.2019 14:51:15|Harry Lime|Да , поэтому и выводы такие
49|16.12.2019 14:52:17|Сергей Ковалев|На это нужен месяц, война и мир меньше уже
50|16.12.2019 14:52:21|Alex|Может это микросамолет с исходом нужных людей.
51|16.12.2019 14:53:54|Scamp|Магомедовы свою долю ещё не продали. У ДВМП долгов на 30 млрд. Но компания деньги приносит, долгосрочные обязательства снижаются, хоть и медленно. Но это наверное не тема этого чата
52|16.12.2019 14:57:51|Harry Lime|Все может быть
53|16.12.2019 15:13:28|Sky|Да вы тут давно уже. Просто не читаете половину вот и все
54|16.12.2019 15:24:50|К& Б:))🍷|Так у Fesko и раньше проблем особых не было. Все проблемы были сброшены на дочернюю ДВМП. А Fesko Трансконтейнер пытался купить... Кейс интересен, как показатель, что и без спв можно лихо кидать воблов. Кстати, попыток привлечь материнскую компанию как основного бенефициара к солидарной ответственности не было
55|16.12.2019 15:27:32|А что ты сделал для котэ!?|ВТБ с погашение 23 декабря 2019 года торгуется с дохой 0.26 Сделки по 100.15 идут Народ активно оптимизирует налоги Или в чем подвох
56|16.12.2019 15:28:13|First Last|О, спасибо. Надо надо оптимизировать
57|16.12.2019 15:28:49|А что ты сделал для котэ!?|Ну не с реальными же 0.15 убытками
58|16.12.2019 15:29:12|First Last|Так ещё и не 21
59|16.12.2019 15:29:46|А что ты сделал для котэ!?|Ну, я поставил заявку по 101.01 Посмотрим
61|16.12.2019 15:58:52|Reincarnation Man|Вот на таких опечатках и происходят залеты. Хорошо, что в чате, а не квике 
62|16.12.2019 16:07:17|А что ты сделал для котэ!?|
63|16.12.2019 16:13:39|Ilya|В Силмаше Да ладно.
64|16.12.2019 16:14:26|Harry Lime|Прошлым летом рестракт в СМ не казался чемто нереальным
65|16.12.2019 16:14:59|А что ты сделал для котэ!?|Понимаю, что Дэни обсуждать неприлично Но все таки  в чем выразился природ Деда Мороза Котировки вроде не выросли
66|16.12.2019 16:16:04|Savel|Вы видели, как выглядят офисы быстроденег и кармани Ну чисто уже исходя из этого ясно, что бд денег дать хочется меньше. Я сам купил, кстати, но я рисковый.
67|16.12.2019 16:17:30|Максим Кочнев|В том и дело, что кто верит может дёшево купить. Как Олег
68|16.12.2019 16:19:16|First Last|а это спорный вопрос, лично я кармани вообще ни одного офиса не видел. только рекламу на авторадио их слышал. а БД вполне себе симпатичные офисы
69|16.12.2019 16:29:55|Savel|Хм, ну значит я слишком строг. Просто кармани выглядят технологически продвинутым, а у быстроденег нет фишки.
70|16.12.2019 16:34:23|Kirill|По БД заявки в z0 висят по полдня. Неудивительно, что размещение затягивается.
71|16.12.2019 16:35:09|Savel|Намекаете, что дело в том, что у когото слишком ленивая жопка 
72|16.12.2019 16:39:07|Ilya|Дед Мороз это подарок в виде временно упавших котировок под Новый год
74|16.12.2019 16:40:10|Dmitry Manzor|После Нового года поднимать придётся Снегурочке
75|16.12.2019 16:40:30|Ilya|Я хз про его ориентацию, но если бумажка реально гуд, ее толпой поднимут.
76|16.12.2019 16:41:57|Savel|Она не гуд, она норм. Не хуже других
77|16.12.2019 16:43:05|Dmitry Manzor|Гробить компанию ради 1млрд не комильфо. У них цель  вывести на IPO
78|16.12.2019 16:43:34|Ilya|Не знаю про кого идёт речь, не знаю.
79|16.12.2019 16:43:39|Harry Lime|Мы я надеюсь еще прокатимся в Краснодар в январе , можно еще Тимофея пригласить для полного праздника
80|16.12.2019 16:43:47|Savel|Я про дени
81|16.12.2019 16:43:54|Ilya|Его в Сибирь только
83|16.12.2019 16:44:18|Savel|Дениколл же
