@AK47pfl"
57|620365|2020-07-03|"💼 СУРГУТ ПОКУПАЕТ ДОЛЮ ГАЗПРОМА В НОВАТЭКЕ? #политика #SNGS #GAZP #NVTK

Сургутнефтегазу выгоднее вложить кубышку в стратегические объекты. Сургут накопил $52 млрд кэша, а процентные ставки в валюте упали до нуля. Руководство может сейчас решиться на покупки, пока и активы не отросли и проценты низкие.

Сургутнефтегаз имеет возможности для покупки 10% Новатэка у Газпрома. Рыночная стоимость такого пакета - $4.5 млрд. Эта сделка выигрыша сразу для трех компаний – Сургутнефтегаза (SNGS), Газпрома (GAZP) и Новатэка (NVTK):
• Газпром получит $4.5-5 млрд кэша на выплату дивидендов государству в сложные времена: цены на газ на минимуме, штрафные санкции с Польшей и Украиной, проблемы с Северным Потоком-2.
• Сургутнефтегаз получит эффективную инвестицию в стратегическую компанию для РФ на 10% от накопленного кэша.
• Новатэк получит доступ к мощному финансовому ресурсу Сургутнефтегаза для новых СПГ-проектов: компания намерена увеличить производство СПГ на ~50 млн т/г к 2030 году.

Покупка 10% акций Новатэка Сургутом у Газпрома - triple-win сделка, которая в моменте увеличит капитализацию и улучшит перспективы всех трех компаний.

@AK47pfl"
58|620364|2020-07-03|Капееееец, праздник завтра, не работают сегодня, пиндосы блииин
59|620363|2020-07-03|Leonid вывожу партизан в стаканы
60|620362|2020-07-03|Leonid ну чего там?
61|620361|2020-07-03|пошло движение супостатов в прифронтовой зоне... наблюдаю
62|620358|2020-07-03|Спасибо!
63|620356|2020-07-03|+
64|620355|2020-07-03|давайте не тратить энергию Леонида на залётчиков, нам больше достанется
65|620354|2020-07-03|есть у Лёни более возвышенная роль - наставлять грешников на путь истинный. Он жеж битый час пытался вразумить
66|620353|2020-07-03|Сегодня вроде
67|620352|2020-07-03|да зачем нам такие негативщики
68|620351|2020-07-03|Коллеги, когда статистика по Мосбирже выйдет? Обещали ещё вчера
69|620350|2020-07-03|Сегодня скорее всего будет просадка на тонком рынке
70|620349|2020-07-03|"🔬 ЛУКОЙЛ МОЖЕТ ПОТЕРЯТЬ ЗВАНИЕ ДИВИДЕНДНОЙ АКЦИИ С ДОХОДНОСТЬЮ ВСЕГО 2.6% ЗА 2020 ГОД #анализ #LKOH

Лукойл лишится около половины свободного денежного потока. В случае признания сделки по продаже АГД Даймондс недействительной Лукойл (LKOH) может потерять около половины скорреткированного свободного денежного потока за 2020 год, который является базой для дивидендов. Это является наиболее вероятным сценарием, т.к. оценка актива при его продаже была завышена в 2 раза. 

Дивидендная доходность Лукойла может составить 2.6% за 2020 год. Свободный денежный поток является базой для дивидендов. Его сокращение почти вдвое приведет к снижение дивидендов вдвое до 142 рублей на акцию с потенциальных 290, что даст всего 2.6% доходности.  

@AK47pfl"
71|620348|2020-07-03|Да дайте новости последние
72|620346|2020-07-03|зачем потёрли парня? не успел прочитать. что там предъявил новый пахан?
73|620345|2020-07-03|"Рынки Деньги Власть. РДВ.
РОССИЙСКАЯ НЕФТЯНКА В УСЛОВИЯХ НИЗКИХ ЦЕН НА НЕФТЬ. 

👍 Фундаментально сильные акции:

Роснефть. Роснефть в любом случае увеличит прибыль в 2020 году в связи с отсутствием бумажных убытков. Более того, в ближайшие месяцы Роснефть может объявить о подробностях проекта Восток-ойл, что также поддержит котировки.

Татнефть обычка и преф. Менеджмент уже заявил, что даже в случае снижения прибыли, дивиденды останутся на том же уровне. Это 11.1% доходности к текущей цене. Высокая дивидендная доходность поможет Татнефти выглядеть лучше сектора.

Башнефть обычка и преф. Башнефть - следующая дочка госкомпании, в которой ожидается повышение пэйаута до 50%. В этом случае доходность составит 15.4% на преф. Цена на нефть не влияет, это история повышения дивидендов. 

Сургутнефтегаз обычка и преф. Как и в Башнефти цена на нефть никак не меняет кейс раскрытия акционерной стоимости Сургута через распечатывание кубышки."
